,FCLS,LASSO,inftyNorm,pnorm
accuracy,0.994,0.9908333333333333,0.9962857142857142,0.9958809523809523
precision,0.9768485375735376,0.9633418248418248,0.9873032994782995,0.9884475108225108
recall,0.9929376984126984,0.9927313492063492,0.9928146825396826,0.9894654761904762
error,0.041021341176237,0.05221116274674193,0.03312879892317383,0.017501124085871695
RMS_noisy,4.9366571351332214e-08,8.693893993185996e-08,4.981999519253001e-08,5.422594394517421e-08
RMS_true,1.4523152085843074e-08,5.3158462268272686e-08,1.340562917900589e-08,1.0575362862322891e-08
