,FCLS,LASSO,inftyNorm,pnorm
accuracy,0.9973333333333334,0.9935,0.9986428571428572,0.9988809523809524
precision,0.9886733044733045,0.9718834776334777,0.9946346681096682,0.9955542568542568
recall,0.9978674603174604,0.9976035714285714,0.9983714285714286,0.9983869047619048
error,0.014658458590661427,0.025977708341581574,0.009680603014220865,0.004653492059553264
RMS_noisy,1.2417717773020146e-09,9.879620372609894e-09,9.101084859932632e-10,1.0291028227366572e-09
RMS_true,8.918371616831805e-10,9.546355162691419e-09,5.377913281556317e-10,5.414827578734393e-10
