,FCLS,LASSO,inftyNorm,pnorm
accuracy,0.7543632837750485,0.742081447963801,0.7698771816418872,0.8015513897866838
precision,0.490763997906855,0.4772572665429807,0.517063492063492,0.5528649921507064
recall,0.8130821559392989,0.8004447933019364,0.8015436944008373,0.730298273155416
error,0.6401901891683127,0.6113121166787996,0.6251874150992339,0.6071805739286659
RMS_true,0.04190003584432848,0.043204833567304694,0.041976125569850836,0.042001417851837704
