,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,lambda,p,precision_mean,recall_mean,thresh
0,2.5e-05,0.14752481886670418,0.007819980606594466,50,4.7316122245467217e-07,4.7256754395071744e-07,11044377.939022338,0.9385714285714285,1e-07,0.5,0.804618686868687,0.9120952380952383,0.01
1,2.5e-05,0.1580902934688589,0.010200775980805581,50,9.97234984342805e-07,9.973742397047126e-07,11044377.939022338,0.933333333333333,1e-07,0.51,0.7959390609390609,0.9061428571428575,0.01
2,2.5e-05,0.1239453846773512,0.006204397412309865,50,3.887435532279348e-07,3.88760494303752e-07,11044377.939022338,0.9419047619047619,1e-07,0.52,0.8212113572701807,0.9204285714285716,0.01
3,2.5e-05,0.10657368453528732,0.005341551727335038,50,2.926708694841797e-07,2.928115880548455e-07,11044377.939022338,0.9519047619047616,1e-07,0.53,0.8623037093625329,0.9212857142857145,0.01
4,2.5e-05,0.09155254763831758,0.004095420519874659,50,2.051381802541493e-07,2.0491098292983427e-07,11044377.939022338,0.9576190476190476,1e-07,0.54,0.875719363969364,0.9296190476190478,0.01
5,2.5e-05,0.07449695069495361,0.0031837412306090994,50,1.823590348775454e-07,1.8183789143385792e-07,11044377.939022338,0.9666666666666666,1e-07,0.55,0.9047738095238096,0.9321190476190477,0.01
6,2.5e-05,0.08120295739942832,0.0037418581769911984,50,1.7287746267878208e-07,1.7254225051440837e-07,11044377.939022338,0.9628571428571426,1e-07,0.56,0.8950223942723945,0.9292619047619048,0.01
7,2.5e-05,0.056525621003482,0.00242690629602099,50,1.0789603500769755e-07,1.0745130346429032e-07,11044377.939022338,0.9747619047619046,1e-07,0.5700000000000001,0.9245562770562771,0.9453333333333335,0.01
8,2.5e-05,0.04507750780663398,0.0017701351306487476,50,4.692623820031626e-08,4.65076323532356e-08,11044377.939022338,0.9766666666666665,1e-07,0.58,0.9299718614718614,0.9456904761904764,0.01
9,2.5e-05,0.04359585063615795,0.001921100506441676,50,3.1035602965535404e-08,3.071006937787018e-08,11044377.939022338,0.9790476190476188,1e-07,0.59,0.9306082251082252,0.956761904761905,0.01
10,2.5e-05,0.018954761174336966,0.00033780471036307043,50,1.0178001010754677e-08,9.675749905238473e-09,11044377.939022338,0.9890476190476188,1e-07,0.6,0.9647380952380953,0.9675952380952382,0.01
11,2.5e-05,0.02096540657528612,0.0004943374832555554,50,9.60925691525268e-09,9.192323742377794e-09,11044377.939022338,0.9895238095238094,1e-07,0.61,0.967904761904762,0.9744523809523812,0.01
12,2.5e-05,0.020701064605365964,0.00047627455306795894,50,9.055904540856443e-09,8.682994428782025e-09,11044377.939022338,0.9890476190476188,1e-07,0.62,0.9671796536796538,0.9719523809523811,0.01
13,2.5e-05,0.020707463359671472,0.00046823424404949404,50,8.498580578219652e-09,8.114331533909522e-09,11044377.939022338,0.9895238095238094,1e-07,0.63,0.9732034632034633,0.9675952380952382,0.01
14,2.5e-05,0.013128412275082468,0.0002465131216511543,50,4.36862176935119e-09,3.9804087228316105e-09,11044377.939022338,0.9938095238095238,1e-07,0.64,0.9834523809523811,0.9856428571428572,0.01
15,2.5e-05,0.012197253001760501,0.00022742882294874325,50,3.783850284486258e-09,3.37028209582608e-09,11044377.939022338,0.9942857142857142,1e-07,0.65,0.9863095238095239,0.9856428571428572,0.01
16,2.5e-05,0.006261128637892398,4.037737399113354e-05,50,1.7125236598927335e-09,1.2132095703045046e-09,11044377.939022338,0.998095238095238,1e-07,0.66,0.9975,0.991,0.01
17,2.5e-05,0.005244286098973521,2.760754799556397e-05,50,1.1308267225034549e-09,6.569566108863146e-10,11044377.939022338,0.9985714285714287,1e-07,0.67,1.0,0.9895,0.01
18,2.5e-05,0.004217903782109247,2.239987953074046e-05,50,1.034812190544461e-09,5.736645058561055e-10,11044377.939022338,0.999047619047619,1e-07,0.6799999999999999,1.0,0.9934999999999999,0.01
19,2.5e-05,0.0034371561980218223,1.2930832019748703e-05,50,7.851153794233085e-10,3.294106493952907e-10,11044377.939022338,0.9995238095238095,1e-07,0.69,1.0,0.9975,0.01
20,2.5e-05,0.0034832006791546705,1.284433356816653e-05,50,7.816085772473644e-10,3.2867247597066613e-10,11044377.939022338,0.9995238095238095,1e-07,0.7,1.0,0.9975,0.01
