,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,lambda,p,precision_mean,recall_mean,thresh
21,2.5e-05,0.003274390203228016,1.1041739968578627e-05,50,7.15615837222015e-10,2.480209084240191e-10,11044377.939022338,0.999047619047619,1e-07,0.71,1.0,0.995,0.01
22,2.5e-05,0.002069958464903492,2.7615053503911254e-06,50,5.891814031601992e-10,1.2281094312523897e-10,11044377.939022338,1.0,1e-07,0.72,1.0,1.0,0.01
23,2.5e-05,0.002304278696598386,3.109120517963289e-06,50,5.80082204450911e-10,1.29373459017436e-10,11044377.939022338,1.0,1e-07,0.73,1.0,1.0,0.01
24,2.5e-05,0.0022515507957525226,3.0156161140233648e-06,50,5.717145045954156e-10,1.2453601684193645e-10,11044377.939022338,1.0,1e-07,0.74,1.0,1.0,0.01
25,2.5e-05,0.0017619147537440553,7.768050289822364e-07,50,5.358745496897532e-10,1.0137819688260217e-10,11044377.939022338,1.0,1e-07,0.75,1.0,1.0,0.01
26,2.5e-05,0.0021434752602903944,2.159079307240586e-06,50,5.464681978519874e-10,1.179757070044563e-10,11044377.939022338,1.0,1e-07,0.76,1.0,1.0,0.01
27,2.5e-05,0.0020954194222666585,1.1340903840025717e-06,50,5.269406694543232e-10,1.119792649195067e-10,11044377.939022338,1.0,1e-07,0.77,1.0,1.0,0.01
28,2.5e-05,0.0022027167793442614,1.246343348615518e-06,50,5.222788509755827e-10,1.1539800807919866e-10,11044377.939022338,1.0,1e-07,0.78,1.0,1.0,0.01
29,2.5e-05,0.002432289565648309,1.5587037431084043e-06,50,5.18723554179515e-10,1.1984287785901406e-10,11044377.939022338,1.0,1e-07,0.79,1.0,1.0,0.01
30,2.5e-05,0.002479015693634796,1.4259473827997968e-06,50,5.135815135366796e-10,1.2173949988609742e-10,11044377.939022338,1.0,1e-07,0.8,1.0,1.0,0.01
31,2.5e-05,0.0026282772811518575,1.5408936793902708e-06,50,5.123572470096548e-10,1.2354605822456376e-10,11044377.939022338,1.0,1e-07,0.81,1.0,1.0,0.01
32,2.5e-05,0.0027536145400837405,1.6159221290344117e-06,50,5.109564641331892e-10,1.255021368557865e-10,11044377.939022338,1.0,1e-07,0.8200000000000001,1.0,1.0,0.01
33,2.5e-05,0.0028973245243184816,1.7621043038218103e-06,50,5.078591816060648e-10,1.2905591732113166e-10,11044377.939022338,1.0,1e-07,0.8300000000000001,1.0,1.0,0.01
34,2.5e-05,0.002968804030969628,1.8627654604757238e-06,50,5.076155997251593e-10,1.288204000468792e-10,11044377.939022338,1.0,1e-07,0.8400000000000001,1.0,1.0,0.01
35,2.5e-05,0.003065789732373333,1.8915266082436772e-06,50,5.054076567796574e-10,1.3105663131375316e-10,11044377.939022338,1.0,1e-07,0.8500000000000001,1.0,1.0,0.01
36,2.5e-05,0.0031964373227349983,1.9762614287170476e-06,50,5.050396314104923e-10,1.3262856540553853e-10,11044377.939022338,1.0,1e-07,0.86,1.0,1.0,0.01
37,2.5e-05,0.003220944503362786,2.0849767519669436e-06,50,5.041797475536286e-10,1.3310742882295466e-10,11044377.939022338,1.0,1e-07,0.87,1.0,1.0,0.01
38,2.5e-05,0.0032680555932245135,2.1203874204834027e-06,50,5.041252023303076e-10,1.3379417524230819e-10,11044377.939022338,1.0,1e-07,0.88,1.0,1.0,0.01
39,2.5e-05,0.003285143191467604,2.10417153868756e-06,50,5.04869549789901e-10,1.3462317713956772e-10,11044377.939022338,1.0,1e-07,0.89,1.0,1.0,0.01
40,2.5e-05,0.0032627827346063372,2.0616008712790886e-06,50,5.037974817550099e-10,1.3444822016103034e-10,11044377.939022338,1.0,1e-07,0.9,1.0,1.0,0.01
41,2.5e-05,0.003276719574338098,2.090283375666068e-06,50,5.038571054322876e-10,1.3441764740006979e-10,11044377.939022338,1.0,1e-07,0.91,1.0,1.0,0.01
42,2.5e-05,0.003292837480314784,2.1540869493927775e-06,50,5.030562446823223e-10,1.3454159767019754e-10,11044377.939022338,1.0,1e-07,0.9199999999999999,1.0,1.0,0.01
43,2.5e-05,0.0033867596907025095,2.2294794271754066e-06,50,5.043520316246905e-10,1.3454814438166347e-10,11044377.939022338,1.0,1e-07,0.9299999999999999,1.0,1.0,0.01
44,2.5e-05,0.0033908172771572147,2.2213448244064727e-06,50,5.043086693862622e-10,1.3468562112123994e-10,11044377.939022338,1.0,1e-07,0.94,1.0,1.0,0.01
45,2.5e-05,0.0033527013523284317,2.1594070697874007e-06,50,5.039805916159954e-10,1.3467842645328583e-10,11044377.939022338,1.0,1e-07,0.95,1.0,1.0,0.01
46,2.5e-05,0.003382903251862182,2.2506445731671203e-06,50,5.0299963585005e-10,1.3543168351441017e-10,11044377.939022338,1.0,1e-07,0.96,1.0,1.0,0.01
47,2.5e-05,0.0033938876766303355,2.259778839016164e-06,50,5.029785685712008e-10,1.3572541983919006e-10,11044377.939022338,1.0,1e-07,0.97,1.0,1.0,0.01
48,2.5e-05,0.0034571224682270413,2.351838518873213e-06,50,5.034153628907169e-10,1.3622632412472e-10,11044377.939022338,1.0,1e-07,0.98,1.0,1.0,0.01
49,2.5e-05,0.0034672801971747133,2.368405816251286e-06,50,5.034407132192636e-10,1.3642180190210426e-10,11044377.939022338,1.0,1e-07,0.99,1.0,1.0,0.01
50,2.5e-05,0.003462057229792937,2.355489875006565e-06,50,5.034254059794584e-10,1.3611258414493096e-10,11044377.939022338,1.0,1e-07,1.0,1.0,1.0,0.01
