spec_id,sample_id,sample_name,group,type_subgroup,latitude,longitude,sample_location,collection_locality,particle_size,quality,category,dana_mineral_number,dana_class_description,chemical_formula,citation,source,owner,spectral_analysis_person,analysis_date,source_lab,instrument,wavenum_range_low,wavenum_range_high,resolution,field_of_view,sample_temperature,response,radiance,raw,hbb,wbb,hotbb_temperature,chamber_temperature,warmbb_temperature
469,WAR-0354,Magnesiohornblende,Mineral/Phase,"VIII - Silicates - Inosilicates (e.g. Pyroxene, Amphibole)",0,0,-,"Chester, VT",Coarse particulate,"[1] Well characterized, pure",Other,66.1.3a.4,"Class 66 - Double-Width Unbranched Chains, W=2","(Na,K)0-1Ca2(Mg,Fe2+,Fe3+,Al)5Si6-7.5Al2-0.5O22(OH)2","Christensen et al., 2000",Ward:s Natural Science Est.,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
487,WAR-0384,Magnetite,Mineral/Phase,III - Oxides and Hydroxides,0,0,-,"Michigamme, MI",Coarse particulate,"[1] Well characterized, pure",Oxide,7.2.2.3,Class 7 - Multiple Oxides,Fe3 O4,"Christensen et al., 2000",Ward:s Natural Science Est.,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
468,BUR-3460,Microcline,Mineral/Phase,"VIII - Silicates - Tektosilicates (e.g. Quartz, Feldspars, Zeolites)",0,0,-,"Keystone, SD",Coarse particulate,"[1] Well characterized, pure",Feldspar (Plagioclase),76.1.1.5,Class 76 - Al-Si Framework,KAlSi3O8,"Christensen et al., 2000",Burminco,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
580,STx-1,Montmorillonite (Ca),Mineral/Phase,"VIII - Silicates - Phyllosilicates (e.g. Micas, Clays)",0,0,-,"Gonzales County, TX",Fine particulate,"[1] Well characterized, pure",Silicate,71.3.1a.2,Class 71 - Sheets of 6-membered rings,Ca0.33 (Al1.67 Mg0.33) Si4 O10 (OH)2,"Christensen et al., 2000",Clay Minerals Society,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
2109,ECL:MON107,Montmorillonite (Na Rich),Mineral/Phase,"VIII - Silicates - Phyllosilicates (e.g. Micas, Clays)",0,0,-,"Crook County, Wyoming, USA (Clay Minerals Society Clays Repository #SWy-2)",Fine particulate,"[1] Well characterized, pure",Other,71.03.01a.02,Class 71 - Sheets of 6-membered rings,-,-,Edward A. Cloutis,pkretowski,Kretowski,5/15/2012,Arizona State University,Nicolet Nexus 670 FTIR,200,2000,2,0,0,0,0,0,0,0,0,0,0
449,WAR-5474,Muscovite,Mineral/Phase,"VIII - Silicates - Phyllosilicates (e.g. Micas, Clays)",0,0,-,"Stoneham, ME",Coarse particulate,"[1] Well characterized, pure",Silicate,71.2.2a.1,Class 71 - Sheets of 6-membered rings,"K2Al4[Si6Al2O20](OH,F)4","Christensen et al., 2000",Ward's Natural Science Est.,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
628, S48,Natrojarosite,Mineral/Phase,"VI - Sulfates, Chromates, Molybdates",0,0,-,"Sulfur Hole, Borate, San Bernardino Co., CA",Fine particulate,"[2] Well characterized, minor impurities (minerals only)",Other,30.2.5.2,Class 30 - Anhydrous Sulfates Containing Hydroxyl or Halogen,NaFe3(SO4)2(OH)6,"Lane, 2006",Minerals Unlimited,asu,Lane,3/23/2006,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,0,0,0,0,0,0,0,0,0,0
476,BUR-060,Oligoclase,Mineral/Phase,"VIII - Silicates - Tektosilicates (e.g. Quartz, Feldspars, Zeolites)",0,0,-,"Purdy Mine, Mattawa, Ontario Canada",Coarse particulate,"[1] Well characterized, pure",Feldspar (Plagioclase),76.1.3.2,Class 76 - Al-Si Framework,Ab90An10-Ab70An30,"Christensen et al., 2000",Burminco,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
960,KI 3008,Olivine Fo10,Mineral/Phase,"VIII - Silicates - Nesosilicates (e.g. Olivine, Garnet)",0,0,-,"Kiglapait Intrusion, Labrador",Coarse particulate,"[1] Well characterized, pure",Olivine,51.03.01,VIII - Other Nesosilicates,"(Mg,Fe)2SiO4","Hamilton, 2010; Koeppen and Hamilton, 2008",S. A. Morse,hamilton,W. Koeppen,-,University of Hawai'i,Nicolet Nexus 470 FTIR,225,2000,4,1,0,0,0,0,0,0,0,0,0
957,KI 3373,Olivine Fo35,Mineral/Phase,"VIII - Silicates - Nesosilicates (e.g. Olivine, Garnet)",0,0,-,"Kiglapait Intrusion, Labrador",Coarse particulate,"[1] Well characterized, pure",Olivine,51.03.01,Class 51 - Insular SiO4 Groups Only,"(Mg,Fe)2SiO4","Hamilton, 2010; Koeppen and Hamilton, 2008",S. A. Morse,hamilton,W. Koeppen,-,University of Hawai'i,Nicolet Nexus 470 FTIR,225,2000,4,1,0,0,0,0,0,0,0,0,0
954,KI 3362,Olivine Fo60,Mineral/Phase,"VIII - Silicates - Nesosilicates (e.g. Olivine, Garnet)",0,0,-,"Kiglapait Intrusion, Labrador",Coarse particulate,"[1] Well characterized, pure",Olivine,51.03.01,Class 51 - Insular SiO4 Groups Only,"(Mg,Fe)2SiO4","Hamilton, 2010; Koeppen and Hamilton, 2008",S. A. Morse,hamilton,W. Koeppen,-,University of Hawaii,Nicolet Nexus 470 FTIR,225,2000,4,1,0,0,0,0,0,0,0,0,0
953,KI 3115,Olivine Fo68,Mineral/Phase,"VIII - Silicates - Nesosilicates (e.g. Olivine, Garnet)",0,0,-,"Kiglapait Intrusion, Labrador",Coarse particulate,"[1] Well characterized, pure",Olivine,51.03.01,Class 51 - Insular SiO4 Groups Only,"(Mg,Fe)2SiO4","Hamilton, 2010; Koeppen and Hamilton, 2008",S. A. Morse,hamilton,W. Koeppen,-,University of Hawaii,Nicolet Nexus 470 FTIR,225,2000,4,1,0,0,0,0,0,0,0,0,0
1966,Opal-A,Opal-A,Mineral/Phase,"VIII - Silicates - Tektosilicates (e.g. Quartz, Feldspars, Zeolites)",0,0,-,-,Fine particulate,"[1] Well characterized, pure",Other,75.02.01.01,Class 75 - Si Tetrahedral Frameworks,SiO2•n(H2O),Joe Michalski 2003,-,pkretowski,-,-,Arizona State University,Nicolet Nexus 670 FTIR,200,2000,4,0,0,0,0,0,0,0,0,0,0
479,BUR-4120,Quartz,Mineral/Phase,"VIII - Silicates - Tektosilicates (e.g. Quartz, Feldspars, Zeolites)",0,0,-,Brazil? (probably Arkansas),Coarse particulate,[4] Not well characterized,Other,75.1.3.1,Class 75 - Si Tetrahedral Frameworks,SiO2,"Christensen et al., 2000",Burminco,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
579,Saponite,Saponite,Mineral/Phase,"VIII - Silicates - Phyllosilicates (e.g. Micas, Clays)",0,0,-,"Horseshoe Dam, Maricopa County, AZ",Coarse particulate,"[2] Well characterized, minor impurities (minerals only)",Silicate,71.3.1b.2,Class 71 - Sheets of 6-membered rings,R0.33(Mg2.67 R0.33)(Si3.34 Al0.66) O10 (OH)2,"Christensen et al., 2000",Ward:s Natural Science Est.,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
443,HS-8.4B,Serpentine,Mineral/Phase,"VIII - Silicates - Phyllosilicates (e.g. Micas, Clays)",0,0,-,"Cardiff, MD",Coarse particulate,"[1] Well characterized, pure",Silicate,71.1.2a,Class 71 - Sheets of 6-membered rings,Mg3[Si2 O5] (OH)4,"Christensen et al., 2000","Roger Clark USGS Denver, CO",asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
