,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,delta,delta_lam,infty_lambda,p,p_lambda,precision,recall,threshold
0,1.4636339015052,0.2022615990213667,100,1.5494479306435884e-08,1.2736481535476965e-08,1675945.661668745,0.6190476190476191,0.01,0,1e-06,0.8,1e-06,0.3181818181818182,0.875,0.01
1,1.3020680531135693,0.12373101454582908,100,1.0987041762205767e-08,1.1789092230043523e-08,3544981.3867470883,0.4523809523809524,0.01,0,1e-06,0.8,1e-06,0.23333333333333334,1.0,0.01
2,1.012853889174031,0.06874608634586127,100,1.0097640060750508e-08,8.71273379562182e-09,14957359.79304917,0.5714285714285714,0.01,0,1e-06,0.8,1e-06,0.2727272727272727,0.75,0.01
3,1.3491150169776163,0.11018802224038414,100,7.364897176400284e-09,8.981148209354543e-09,4134840.245056378,0.5,0.01,0,1e-06,0.8,1e-06,0.24,0.75,0.01
4,1.1217740874113715,0.0794599252751819,100,2.3300996661860077e-08,2.4148154816914452e-08,4334220.424323022,0.6904761904761905,0.01,0,1e-06,0.8,1e-06,0.4,0.8888888888888888,0.01
5,0.3191486840561551,0.016695994994116288,100,1.549660319777137e-08,1.558075703241075e-08,396184.6036788604,0.8571428571428571,0.01,0,1e-06,0.8,1e-06,0.75,0.375,0.01
6,1.1269980967167732,0.0960192216512102,100,2.3116897927777254e-09,3.5492363955438586e-09,4695162.924723241,0.5238095238095238,0.01,0,1e-06,0.8,1e-06,0.2857142857142857,1.0,0.01
7,0.8756455595842668,0.08544207815945698,100,1.2676069591631243e-08,1.293308430336976e-08,2768499.3745778715,0.6904761904761905,0.01,0,1e-06,0.8,1e-06,0.29411764705882354,0.8333333333333334,0.01
8,1.1087803693424274,0.08779717003300817,100,3.2721418079762264e-09,3.05335798972944e-09,22745394.69537342,0.6428571428571429,0.01,0,1e-06,0.8,1e-06,0.3333333333333333,0.875,0.01
9,0.576616386063602,0.05134422682700893,100,4.347184263163279e-09,4.538579849492233e-09,28256339.8949613,0.8095238095238095,0.01,0,1e-06,0.8,1e-06,0.46153846153846156,0.8571428571428571,0.01
10,1.3010932906255583,0.19063263652107099,100,1.4940869215740475e-08,1.4753817226484903e-08,17929440.675040733,0.47619047619047616,0.01,0,1e-06,0.8,1e-06,0.2,0.7142857142857143,0.01
11,0.6165552200157067,0.04250657240731759,100,3.967164211863088e-09,4.457711094174261e-09,4216895.446092109,0.8333333333333334,0.01,0,1e-06,0.8,1e-06,0.45454545454545453,0.8333333333333334,0.01
12,1.556800718025741,0.31752068641389947,100,7.078846723717695e-08,6.964146334631618e-08,1273717.48685797,0.6904761904761905,0.01,0,1e-06,0.8,1e-06,0.3125,0.7142857142857143,0.01
13,0.2742611336223705,0.00914160096638135,100,2.812026288454893e-09,2.8374358779070526e-09,270692.52422471595,0.7857142857142857,0.01,0,1e-06,0.8,1e-06,0.16666666666666666,0.2,0.01
