,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,delta,delta_lam,infty_lambda,p,p_lambda,precision,recall,threshold
0,0.024772609555455676,0.00010491354327264645,100,4.7965394293097745e-08,9.018833376411756e-09,116236.15995395905,0.9761904761904762,0.01,0,1e-06,0.8,1e-06,1.0,0.875,0.01
1,0.03901609908421762,0.0001617021121744176,100,3.293915556657685e-08,9.283334181468572e-09,134967.4106098657,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
2,0.020989451856400006,4.782673723138908e-05,100,5.5586215693784436e-08,1.172631119859507e-08,229223.26193678705,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
3,0.027993354142767473,0.00012605442726233522,100,5.7172366649550175e-08,4.616305834781828e-09,83159.83038445599,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
4,0.014764879104597254,2.5199340580081793e-05,100,4.689532012237868e-08,1.4481511508311198e-08,143053.61718329458,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
5,0.06435739761187532,0.0005027157225991131,100,5.053090132770881e-08,2.3654922167509296e-08,23001.33747986388,0.9285714285714286,0.01,0,1e-06,0.8,1e-06,0.8571428571428571,0.75,0.01
6,0.022319975402220363,5.2487893809037255e-05,100,4.2999068199466275e-08,1.5002236661962403e-08,175786.56025841838,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
7,0.024670357961064173,8.094353944530775e-05,100,5.426848221438843e-08,1.6158032819419146e-08,103107.03974426106,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
8,0.024837912308201513,8.072218200700962e-05,100,5.0920023371930664e-08,1.095381853354752e-08,55131.61589710032,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
9,0.031207051966280826,0.00012425369124483603,100,4.48892123554905e-08,1.4176230272019537e-08,233213.96732673078,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
10,0.03703633639414716,0.0002884971714934056,100,5.990325189412316e-08,9.424205284196367e-09,182197.40879486542,0.9761904761904762,0.01,0,1e-06,0.8,1e-06,1.0,0.8571428571428571,0.01
11,0.014240551483553476,2.423219916762517e-05,100,4.0047291031072826e-08,9.187254910275919e-09,188483.8120678802,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
12,0.03321640786179711,0.0001378444383908567,100,4.553764376526752e-08,1.053878663161915e-08,65574.57651855376,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
13,0.014877143956626187,3.095434183471003e-05,100,4.4539771324879014e-08,1.2803458281826438e-08,30994.1639612622,0.9761904761904762,0.01,0,1e-06,0.8,1e-06,1.0,0.8,0.01
14,0.04904456053344486,0.0002967120715655246,100,5.0323431323344566e-08,1.8921970056712333e-08,86891.52552328668,0.9761904761904762,0.01,0,1e-06,0.8,1e-06,0.875,1.0,0.01
15,0.02132869190971671,7.603912132860634e-05,100,4.415027874228463e-08,7.49956462234366e-09,160141.09972854753,0.9761904761904762,0.01,0,1e-06,0.8,1e-06,1.0,0.8571428571428571,0.01
16,0.017935489564050392,3.935120038946509e-05,100,3.825734616674988e-08,2.088203387333476e-08,86820.09932742485,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
17,0.028443398669507,8.52835347175966e-05,100,4.739917102320222e-08,1.065109639780464e-08,131039.65659595303,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
18,0.01790340106335312,3.13180558510493e-05,100,4.631210344025802e-08,4.436095850672802e-09,140067.98741227368,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
19,0.023614309131878244,6.342336278383294e-05,100,6.285860176436553e-08,1.538284245182751e-08,73433.06164855817,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
20,0.016418821933932664,2.8758406932418976e-05,100,7.832327145734274e-08,9.862807754790775e-09,55726.621066295535,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
21,0.0411106787543672,0.00021315818378252728,100,4.3465302776625996e-08,2.1207266641517014e-08,139708.08936723255,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
22,0.015188338823018892,2.5975157399690993e-05,100,6.68841633203637e-08,1.413938281224866e-08,47743.35080292456,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
23,0.04963206980962366,0.0003647695719299161,100,6.36729605789949e-08,2.1159759013385643e-08,75588.79578487779,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
24,0.030254220710451668,0.00011088330569402698,100,4.611285921066635e-08,1.6725370932360434e-08,69780.58756605837,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
25,0.06310570051404245,0.0009904167894057025,100,3.4921496473887715e-08,1.2446043066805836e-08,124550.29266981944,0.9761904761904762,0.01,0,1e-06,0.8,1e-06,0.875,1.0,0.01
26,0.012512441036640046,2.3665815165808628e-05,100,4.787019287240143e-08,1.1219567252362343e-08,76380.22655353091,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
27,0.05514317520237816,0.0003784550427860669,100,4.506288782392332e-08,1.676090017983231e-08,156026.84875282043,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
28,0.007611111506579161,5.971016673967114e-06,100,4.854126851089233e-08,2.3831911883784477e-09,134457.76757941864,1.0,0.01,0,1e-06,0.8,1e-06,1.0,1.0,0.01
