,Deviation,FCLS_err_L1,LASSO_err_L1,LASSO_lam,SFCLS_err_L1,SFCLS_lam,delta,delta_err_L1,delta_lam,p,p_norm_err_L1,p_norm_lam
0,1e-06,0.009483274195809173,0.013726786488539658,0.001,0.0020542350158106273,1e-06,0.01,0.001670510446789655,1e-06,0.8,0.02220105946505362,1e-05
1,1.2589254117941661e-06,0.009458049580706037,0.013760729819118855,0.001,0.0020548966928929315,1e-06,0.01,0.0016801814573727712,1e-06,0.8,0.025972409607422493,1e-05
2,1.584893192461114e-06,0.00944766686442025,0.013774610732907618,0.001,0.0020560406425417293,1e-06,0.01,0.0016892687369080672,1e-06,0.8,0.022110722372031884,1e-05
3,1.9952623149688787e-06,0.009443756105258255,0.013765764802025866,0.001,0.0020589767834860613,1e-06,0.01,0.0016371404815081253,1e-06,0.8,0.02529185978575261,1e-05
4,2.5118864315095823e-06,0.009469580365271018,0.013771118369424887,0.001,0.002064202851006275,1e-06,0.01,0.0016280275846694183,1e-06,0.8,0.022252664743711122,1e-05
5,3.162277660168379e-06,0.009495389923184959,0.01373247074450136,0.001,0.00207360315788186,1e-06,0.01,0.00164530844440089,1e-06,0.8,0.021991864563704003,1e-05
6,3.981071705534969e-06,0.009444268418257887,0.013771005421765412,0.001,0.002088528029476316,1e-06,0.01,0.0016896264884144053,1e-06,0.8,0.020811225036824203,1e-05
7,5.011872336272725e-06,0.00947772836840653,0.013777128140605175,0.001,0.0021118167956253727,1e-06,0.01,0.00244697309504491,1e-06,0.8,0.020165000575021096,1e-05
8,6.30957344480193e-06,0.009437145541593882,0.01390831529676257,0.001,0.0021507197181580987,1e-06,0.01,0.0017219790573660936,1e-06,0.8,0.01817903729601899,1e-05
9,7.943282347242822e-06,0.009451084565835747,0.013855277364570078,0.001,0.0022113169223731545,1e-06,0.01,0.0018002200564298451,1e-06,0.8,0.017219151576741067,1e-05
10,1e-05,0.009453308977434417,0.013767099792166749,0.001,0.0023148249361320057,1e-06,0.01,0.0017411965268293958,1e-06,0.8,0.018859769684185363,1e-05
11,1.2589254117941661e-05,0.009522541803250824,0.013846635849090634,0.001,0.0024672765699416607,1e-06,0.01,0.0018103904743083878,1e-06,0.8,0.020925052893411223,1e-05
12,1.584893192461114e-05,0.009606322975615712,0.013849547238677809,0.001,0.002684384921645632,1e-06,0.01,0.0018384220459898165,1e-06,0.8,0.01880905965867891,1e-05
13,1.9952623149688786e-05,0.00967642979440714,0.013771631343913088,0.001,0.0030164706896844435,1e-06,0.01,0.0018862495096385516,1e-06,0.8,0.01842700727951433,1e-05
14,2.5118864315095822e-05,0.009829185358883474,0.013793797326321796,0.001,0.0034608475719591727,1e-06,0.01,0.002008404312475723,1e-06,0.8,0.018877164282820155,1e-05
15,3.1622776601683795e-05,0.009967585700217177,0.013945380458347117,0.001,0.004098044318195133,1e-06,0.01,0.0023357362245739525,1e-06,0.8,0.01833903276179461,1e-05
16,3.9810717055349695e-05,0.010371058665929363,0.014181994109221307,0.001,0.004915226933806709,1e-06,0.01,0.0025698555015871323,1e-06,0.8,0.022618734516889873,1e-05
17,5.011872336272725e-05,0.010857754308753235,0.014577223503900194,0.001,0.005983833497749074,1e-06,0.01,0.002841807621682575,1e-06,0.8,0.023521649346564574,1e-05
18,6.309573444801929e-05,0.011660739890287352,0.015367897690459707,0.001,0.007366102445361895,1e-06,0.01,0.0031307248785742,1e-06,0.8,0.021828805593669204,1e-05
19,7.943282347242822e-05,0.01303871721320573,0.016322888964009123,0.001,0.009169966231786375,1e-06,0.01,0.003556618883011132,1e-06,0.8,0.01967784887908731,1e-05
20,0.0001,0.014879350030832865,0.017922283565958225,0.001,0.011559806577538485,1e-06,0.01,0.004245266613035036,1e-06,0.8,0.020567763380352183,1e-05
21,0.00012589254117941674,0.01750293245854195,0.020254758091242643,0.001,0.014615643115488122,1e-06,0.01,0.005153591790379342,1e-06,0.8,0.020946639173747287,1e-05
22,0.00015848931924611142,0.020879266540222624,0.023587877099407375,0.001,0.018454250668899927,1e-06,0.01,0.006340718651711668,1e-06,0.8,0.02270561342641288,1e-05
23,0.0001995262314968881,0.025654520021647254,0.02802470375655065,0.001,0.02326047208047445,1e-06,0.01,0.008229549454100425,1e-06,0.8,0.025216672869520985,1e-05
24,0.0002511886431509582,0.03150137108070355,0.034009913698902876,0.001,0.029239268032538856,1e-06,0.01,0.010974529045599368,1e-06,0.8,0.031277715424728715,1e-05
25,0.00031622776601683794,0.03888265656080935,0.042113667300244066,0.001,0.03678551847930192,1e-06,0.01,0.014965084637811842,1e-06,0.8,0.03758620050861232,1e-05
26,0.00039810717055349735,0.048441581967648126,0.05285725034224961,0.001,0.046847211026013025,1e-06,0.01,0.022942699030380834,1e-06,0.8,0.040062920247799,1e-05
27,0.0005011872336272725,0.060739132599625434,0.06603322659770636,0.001,0.058984091601317346,1e-06,0.01,0.03567426063870404,1e-06,0.8,0.05293028201368375,1e-05
28,0.0006309573444801936,0.0761366379636846,0.08317383712913959,0.001,0.07408982809859484,1e-06,0.01,0.051122312014553764,1e-06,0.8,0.06741769988213933,1e-05
29,0.0007943282347242822,0.09519664657191439,0.10484080269204402,0.001,0.0930378607463234,1e-06,0.01,0.07128411721433664,1e-06,0.8,0.08449028078503926,1e-05
30,0.001,0.1186345235676246,0.13034586843268606,0.001,0.11664857367536906,1e-06,0.01,0.10070314110040667,1e-06,0.8,0.10622214336968677,1e-05
