,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,delta,delta_lam,infty_lambda,p,p_lambda,precision,recall,threshold
0,0.002283808322693622,8.06995892447253e-07,100,4.812985344331581e-10,9.359069664459679e-11,11623615.995390907,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
1,0.007342204524685218,6.055910569410899e-06,100,3.631517198872085e-10,9.966576021249878e-11,13496741.060978502,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
2,0.002303129672015702,6.343798435466323e-07,100,5.623320630721447e-10,1.1680775824719015e-10,22922326.193686817,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
3,0.0028174623740599173,1.228520566410304e-06,100,5.667730193289391e-10,4.790533953840381e-11,8315983.038444865,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
4,0.0014403534280552214,2.6096976570181363e-07,100,4.693402479511439e-10,1.4981129984147745e-10,14305361.718330411,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
5,0.008817420851422546,9.105049823417719e-06,100,5.245538013253427e-10,3.0233587636967186e-10,2300133.747987359,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
6,0.002715275951597046,8.005723276131824e-07,100,4.3515679271529015e-10,1.6001965691283192e-10,17578656.025843795,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
7,0.0024824022484088624,8.32723804123284e-07,100,5.469038633388519e-10,1.678127431720386e-10,10310703.974421635,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
8,0.002806765781826315,9.120037960896942e-07,100,5.313888495055492e-10,1.160998829276647e-10,5513161.589707746,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
9,0.002769714433357785,1.1547710280958527e-06,100,4.509781294432432e-10,1.3279946148058978e-10,23321396.73266968,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
10,0.004492478521798435,4.507281450018554e-06,100,5.978900886031325e-10,1.1076689391407908e-10,18219740.87948829,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
11,0.0013051663209530035,2.0298231114601697e-07,100,4.0556460532074873e-10,9.437718449499748e-11,18848381.20678911,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
12,0.0032414221854184257,1.3923316314878377e-06,100,4.5587670151254076e-10,1.0322137559430354e-10,6557457.651854209,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
13,0.0018062862322720964,5.820059798780011e-07,100,4.502078064117051e-10,1.3949192091730775e-10,3099416.396125033,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
14,0.004666217696087755,2.3921565171656223e-06,100,5.060800281440086e-10,1.7442431418691728e-10,8689152.552331265,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
15,0.0022049831865134433,7.355047816586439e-07,100,4.4906173164557347e-10,8.451815184335192e-11,16014109.972860696,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
16,0.0019025149026859905,4.629806600602727e-07,100,3.8365941252774557e-10,2.1187737159695718e-10,8682009.932742687,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
17,0.00451030371196752,2.537601095233746e-06,100,4.917294860011e-10,1.2466440612594911e-10,13103965.659591194,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
18,0.0023974340881047357,7.705903055050632e-07,100,4.768537049764393e-10,4.741858469821322e-11,14006798.741220001,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
19,0.00367605309166157,1.8410165099287338e-06,100,6.41660851344296e-10,1.7861520972240347e-10,7343306.16485662,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
20,0.0016435462656285104,3.000088833346008e-07,100,7.837682532201703e-10,1.0490745992975426e-10,5572662.106627994,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
21,0.0040560110276981354,1.7695376477621169e-06,100,4.4606465322518873e-10,2.314883257580276e-10,13970808.93673178,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
22,0.00150831955374681,2.644243221321346e-07,100,6.702203133870019e-10,1.465192867410809e-10,4774335.080292711,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
23,0.009219726419058973,1.4697730298515981e-05,100,6.734923928567375e-10,3.105189506307696e-10,7558879.578484986,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
24,0.006435625054466502,5.933687630310859e-06,100,4.71797088294352e-10,2.0296497448509302e-10,6978058.756606758,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
25,0.006446907482710385,1.1017138303618588e-05,100,3.554738123107005e-10,1.3653085955613442e-10,12455029.266974004,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
26,0.002011255464259376,6.80196695906384e-07,100,4.969231986548393e-10,1.1537091381693629e-10,7638022.655354279,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
27,0.007322223918939499,6.717527250613155e-06,100,4.721408434476546e-10,1.954704507984829e-10,15602684.875274014,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
28,0.0010483403593271262,1.486912145986643e-07,100,4.856673419611789e-10,2.477908911116301e-11,13445776.75794604,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
29,0.003890177280873424,1.7863563432991499e-06,100,4.3782438999846285e-10,1.591939889611419e-10,8947489.28531901,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
30,0.002690977648581862,1.032522799552439e-06,100,5.449951764107621e-10,1.0809944086702712e-10,10051947.765851885,1.0,0.01,0,0,0.8,0,1.0,1.0,0.01
