,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,delta,delta_lam,infty_lambda,p,p_lambda,precision,recall,threshold
0,0.026410558647937874,0.00011833452029868696,100,4.791896331180339e-08,9.340400075287565e-09,116236.15995395905,0.9761904761904762,0.01,0,1e-07,0.8,1e-07,1.0,0.875,0.01
1,0.03730523382456224,0.00016165181182319131,100,3.2855530724994845e-08,9.06445492963101e-09,134967.4106098657,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
2,0.021022312010320905,4.8092946254919526e-05,100,5.558529644654016e-08,1.1730597240571042e-08,229223.26193678705,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
3,0.03001835471814123,0.0001490788701600077,100,5.6519640769265016e-08,4.468332845781627e-09,83159.83038445599,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
4,0.01575562461478237,2.886660583486911e-05,100,4.677578340192246e-08,1.5245928433034533e-08,143053.61718329458,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
5,0.06502618504792546,0.0005097794143433232,100,5.0530944316563906e-08,2.377160632055158e-08,23001.33747986388,0.9285714285714286,0.01,0,1e-07,0.8,1e-07,0.8571428571428571,0.75,0.01
6,0.026652537660732094,6.829624614131965e-05,100,4.274415792700723e-08,1.570673681398903e-08,175786.56025841838,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
7,0.02318124641003829,7.552405611589128e-05,100,5.4202063500430905e-08,1.619372592223388e-08,103107.03974426106,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
8,0.02264952836699322,6.560256764163835e-05,100,5.083755734848227e-08,1.0744807765056646e-08,55131.61589710032,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
9,0.030876986833029862,0.00012296756997350473,100,4.487881748922078e-08,1.4112753268886641e-08,233213.96732673078,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
10,0.04409991456997802,0.00042827451873343167,100,5.974920802046624e-08,1.0687398495284073e-08,182197.40879486542,0.9523809523809523,0.01,0,1e-07,0.8,1e-07,0.8571428571428571,0.8571428571428571,0.01
11,0.014871795835476685,2.5821072455227293e-05,100,4.000248096106942e-08,9.237015829928272e-09,188483.8120678802,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
12,0.035196025113377126,0.0001585753938600672,100,4.549484195373502e-08,1.0996308886822128e-08,65574.57651855376,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
13,0.014768971134765298,3.074724889442708e-05,100,4.4536706187051546e-08,1.2800508254523921e-08,30994.1639612622,0.9761904761904762,0.01,0,1e-07,0.8,1e-07,1.0,0.8,0.01
14,0.04943426911623874,0.00029497625232184795,100,5.030336451709388e-08,1.898001709893856e-08,86891.52552328668,0.9761904761904762,0.01,0,1e-07,0.8,1e-07,0.875,1.0,0.01
15,0.021693018593201257,7.82482069540493e-05,100,4.4141218004212124e-08,7.556765879535073e-09,160141.09972854753,0.9761904761904762,0.01,0,1e-07,0.8,1e-07,1.0,0.8571428571428571,0.01
16,0.01811611137931929,4.071802708521707e-05,100,3.819970628479145e-08,2.0719637406341795e-08,86820.09932742485,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
17,0.027936637321396774,8.183717919923914e-05,100,4.7384089971692045e-08,1.0861234889520852e-08,131039.65659595303,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
18,0.017983393571745748,3.113774477239041e-05,100,4.63029266154353e-08,4.3594795369174e-09,140067.98741227368,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
19,0.023756863671391973,6.343635159127318e-05,100,6.284521080105389e-08,1.550665430298678e-08,73433.06164855817,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
20,0.016728551605558455,2.9801089859118296e-05,100,7.831203014824711e-08,1.0154275537130569e-08,55726.621066295535,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
21,0.04425611572965588,0.000231101236304887,100,4.3344580399924793e-08,2.2270615466714788e-08,139708.08936723255,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
22,0.015750572065375418,2.8235015006033644e-05,100,6.685644999110618e-08,1.4447857083401086e-08,47743.35080292456,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
23,0.050526560648947165,0.00036699330056639076,100,6.363069303953622e-08,2.1125160883737026e-08,75588.79578487779,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
24,0.04093673864335561,0.00023330224140480653,100,4.5775183516148764e-08,1.7567156463350926e-08,69780.58756605837,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
25,0.06356528696904142,0.0010100734900189588,100,3.489134208617911e-08,1.2363393168538448e-08,124550.29266981944,0.9761904761904762,0.01,0,1e-07,0.8,1e-07,0.875,1.0,0.01
26,0.012566397807281336,2.4342471437130624e-05,100,4.783853220397451e-08,1.1143543793057502e-08,76380.22655353091,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
27,0.06192599629328689,0.0004508549813048733,100,4.477070087355985e-08,1.720856833534291e-08,156026.84875282043,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
28,0.010631946500923115,1.3907215763545903e-05,100,4.834283343407405e-08,2.7444068732347807e-09,134457.76757941864,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
29,0.036582333887222075,0.00014124408579162983,100,4.296813451635017e-08,1.5140155811421255e-08,89474.89285319134,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
30,0.0227409325717037,9.31123072976769e-05,100,5.3272974077785254e-08,1.2117633268503954e-08,100519.47765855462,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
31,0.029425390750730147,0.00015585015885814403,100,6.396746181270858e-08,9.884986968611513e-09,47600.801014852106,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
32,0.02989942853193084,0.0001465875954573444,100,5.329250724108249e-08,1.2243299513947374e-08,95230.27235514091,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
33,0.048101458527798686,0.0003114763695396344,100,5.165208611618566e-08,1.5273966258577613e-08,66686.75435070907,0.9761904761904762,0.01,0,1e-07,0.8,1e-07,0.875,1.0,0.01
34,0.04065770006552703,0.0002999042452475627,100,3.684252545564077e-08,1.4451552611010147e-08,149704.82674152488,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
35,0.017172949321088267,4.234870259811638e-05,100,5.1641621630215365e-08,9.19451835062913e-09,159004.34782844674,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
36,0.03343969933542113,0.00014406934796121852,100,4.6571034626549806e-08,1.1599604557532052e-08,115632.4261759489,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
37,0.019651206574188798,7.053427557318775e-05,100,5.4531392963943697e-08,6.969557359950283e-09,70596.51583116785,1.0,0.01,0,1e-07,0.8,1e-07,1.0,1.0,0.01
