,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,delta,delta_lam,infty_lambda,p,p_lambda,precision,recall,threshold
0,0.012809582381628935,2.5422746172558706e-05,100,2.237215938537642e-09,1.82112462044435e-09,11623615.995390907,0.9761904761904762,0.01,0,1e-05,0.8,1e-05,1.0,0.875,0.01
1,0.04097737926580078,0.0002301755575012799,100,8.660110048030055e-09,8.641273548950117e-09,13496741.060978502,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
2,0.0030689838427248916,1.0963205630517664e-06,100,6.329703494087054e-10,1.9152687753124843e-10,22922326.193686817,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
3,0.08241383997469698,0.0012251688138646044,100,3.7574389267709095e-08,3.6279905871545615e-08,8315983.038444865,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
4,0.019243310464451855,5.494541097076733e-05,100,3.665342836841298e-09,2.7816168898588302e-09,14305361.718330411,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
5,0.013420963619841457,2.516049221386526e-05,100,7.965897031239754e-10,4.1976038380001313e-10,2300133.747987359,0.9761904761904762,0.01,0,1e-05,0.8,1e-05,1.0,0.875,0.01
6,0.024371885050310942,9.331635694566298e-05,100,5.318161052523335e-09,5.203217834213409e-09,17578656.025843795,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
7,0.03825721367179559,0.0002601857054027929,100,9.647255007625686e-09,9.270866996275257e-09,10310703.974421635,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
8,0.02284758187093306,7.861090559724548e-05,100,8.409778913027709e-09,8.331649982013417e-09,5513161.589707746,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
9,0.005194681973868612,2.9941997612223973e-06,100,1.0267420889055244e-09,8.15638302886931e-10,23321396.73266968,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
10,0.013078640167359726,2.9836457915839538e-05,100,1.6195705334968493e-09,1.074202738738289e-09,18219740.87948829,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
11,0.006425333711144525,6.741389290778251e-06,100,1.4183871281247217e-09,1.1563603659331886e-09,18848381.20678911,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
12,0.010377377447439893,2.136499575516691e-05,100,1.6025412566165475e-09,1.0179299422752678e-09,6557457.651854209,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
13,0.013382173051154323,2.5785270873383214e-05,100,9.36410172697782e-10,5.011715599322511e-10,3099416.396125033,0.9761904761904762,0.01,0,1e-05,0.8,1e-05,1.0,0.8,0.01
14,0.01659794963096079,3.8780649193038836e-05,100,1.6972266725696043e-09,1.1809566686694867e-09,8689152.552331265,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
15,0.004405516739644365,2.719108420209338e-06,100,1.6547409537397982e-09,1.235807300542228e-09,16014109.972860696,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
16,0.016123680674215733,4.697963164331141e-05,100,4.960749037720722e-09,5.049513049048029e-09,8682009.932742687,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
17,0.012383898432356061,1.7319854668125448e-05,100,2.352093123753229e-09,1.6722599908912693e-09,13103965.659591194,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
18,0.016964974285050505,4.407162071802868e-05,100,2.53157331946982e-09,2.1507520896119227e-09,14006798.741220001,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
19,0.011187595218174709,2.523289548497156e-05,100,2.0943781063289034e-09,1.526034476547918e-09,7343306.16485662,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
20,0.0046198742867104466,2.2489392715695005e-06,100,1.3517800559019172e-09,5.352301521475794e-10,5572662.106627994,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
21,0.03450185621966493,0.0002776460218603978,100,4.051443548152063e-09,3.696438778665072e-09,13970808.93673178,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
22,0.00889855026859457,1.6387133136791147e-05,100,3.1974354473564117e-09,2.328959669155813e-09,4774335.080292711,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
23,0.030231217044221406,0.00016148131341734085,100,4.352067758547602e-09,4.927899124093308e-09,7558879.578484986,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
24,0.04546683471832265,0.00034231046598561015,100,7.085073343891116e-09,6.62502467744335e-09,6978058.756606758,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
25,0.01952646899820253,9.706122854153129e-05,100,8.577070683826169e-10,7.359382986944658e-10,12455029.266974004,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
26,0.008266946878350263,1.6437338769470106e-05,100,2.893563950623226e-09,2.8065356697591987e-09,7638022.655354279,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
27,0.013766820160041885,3.2265061182928e-05,100,2.6617937794540774e-09,2.609076889077524e-09,15602684.875274014,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
28,0.01194728262799721,2.289348255147923e-05,100,4.7634243196201325e-09,4.3997035314094e-09,13445776.75794604,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
29,0.01932386603084586,9.37485848167869e-05,100,3.6848327740625017e-09,3.765912912319823e-09,8947489.28531901,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
30,0.030882102524238803,0.00014376276232568405,100,8.565063462356489e-09,7.997584882162164e-09,10051947.765851885,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
31,0.038410255339625866,0.0002744188670150625,100,3.446765256496713e-09,2.7264493391301834e-09,4760080.101485631,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
32,0.010397266832886734,1.1332469324044227e-05,100,1.8292253070035057e-09,1.3875171308667015e-09,9523027.235508991,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
33,0.014757482011473406,2.7700554936094716e-05,100,2.4455908296772455e-09,1.872038984471866e-09,6668675.435072242,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
34,0.03241958928005746,0.00013491098635706034,100,6.367815873065908e-09,5.7933513012648655e-09,14970482.674146125,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
35,0.017114675693198245,6.308019311611145e-05,100,8.11481405815098e-09,8.479142663371792e-09,15900434.78284917,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
36,0.02741727322615869,8.49859595319156e-05,100,4.024112503207273e-09,4.069482313861768e-09,11563242.617593141,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
37,0.03139961481528494,0.0002337044823741845,100,8.599173758374075e-09,8.140055435611169e-09,7059651.583118995,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
38,0.04854338228523006,0.0005318990182897166,100,1.0181523005991575e-08,1.036878446464615e-08,9524546.244353458,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
39,0.00660415093256823,6.31355553952479e-06,100,6.272433473375261e-10,3.083854502665792e-10,20822700.657790218,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
40,0.00554442567347325,4.642683059660438e-06,100,6.563294977234544e-10,3.5063340958141213e-10,8404515.707446784,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
41,0.0027229346246709393,1.3126023848226934e-06,100,1.6462295865830451e-09,9.059357558616249e-10,15101867.677389571,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
42,0.036675473901831145,0.0002514218040784285,100,5.411305749767003e-09,4.731922310032763e-09,7812148.629484864,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
43,0.007890957337787927,9.192275710394983e-06,100,1.0493302226328436e-09,7.683821991727149e-10,8840019.150731187,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
44,0.028434132812653203,0.0001437015644920813,100,9.749177714354355e-09,8.181085727875826e-09,7921611.2471097745,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
45,0.015734259166304138,3.8630024723275566e-05,100,2.0470409577835374e-09,1.2933040571769444e-09,9161333.167860357,0.9761904761904762,0.01,0,1e-05,0.8,1e-05,1.0,0.875,0.01
46,0.007691714718094174,1.2823647548199892e-05,100,1.3284327460030333e-09,8.994894271975058e-10,10859662.168762142,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
47,0.003498308324413819,1.5419496911330682e-06,100,1.018043543916845e-09,5.864579146804164e-10,13532008.053050987,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
48,0.006602199304824168,7.295718796920595e-06,100,1.1103002871353038e-09,6.91571441293015e-10,10518216.861247571,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
49,0.043417164968333824,0.00027406697930499333,100,6.018844567256194e-09,6.087081241246973e-09,8026558.655331232,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
50,0.006837969772772603,5.780027619367551e-06,100,1.6819377282628505e-09,1.0806392568028577e-09,15690498.543619256,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
51,0.015521063970218449,4.525535050274124e-05,100,2.167859072306439e-09,1.978734939136851e-09,12124357.774826208,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
52,0.02285649992527955,7.586222957402461e-05,100,3.2261622540271353e-09,3.108658343905298e-09,8500433.641635912,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
53,0.011303023295997989,2.0957266784808332e-05,100,4.367184323377888e-09,3.79592309324531e-09,8470197.50444576,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
54,0.006998739612486615,9.11523360965744e-06,100,3.728801805552208e-09,3.0258228240709557e-09,18408153.478030607,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
55,0.0427748502142826,0.00033986819089223025,100,4.02990861727221e-09,4.0276084269872165e-09,11161474.260749873,0.9523809523809523,0.01,0,1e-05,0.8,1e-05,0.8571428571428571,0.8571428571428571,0.01
56,0.10452735278033291,0.002416380414760472,100,5.913530635768544e-08,5.674289459733868e-08,7704547.406824591,1.0,0.01,0,1e-05,0.8,1e-05,1.0,1.0,0.01
