,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,delta,delta_lam,infty_lambda,p,p_lambda,precision,recall,threshold
0,0.0008903301943425833,2.812959602699505e-07,100,5.445791890253223e-10,1.4594599192622736e-10,11623615.995390907,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
1,0.0002884622000275006,1.7468162439145304e-08,100,4.35554391073284e-10,2.953631343779771e-11,13496741.060978502,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
2,0.0005904269469739052,7.722484888090333e-08,100,6.304003508380944e-10,1.2166291199680597e-10,22922326.193686817,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
3,0.0016435915395364613,6.385579641255109e-07,100,6.935160523423519e-10,9.750739774667235e-11,8315983.038444865,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
4,0.00047431056619445366,6.006646181337712e-08,100,5.60308438255247e-10,7.155699635182303e-11,14305361.718330411,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
5,0.029566055240651163,0.0002184757013808798,100,6.855299817188341e-09,6.6967330473280805e-09,2300133.747987359,0.9761904761904762,0.01,1e-06,1e-06,0.8,1e-06,1.0,0.875,0.01
6,0.0006634302565152613,9.592142913756487e-08,100,5.699486508656122e-10,6.408068111280538e-11,17578656.025843795,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
7,0.01853105807197251,7.818962773477545e-05,100,2.529588337876946e-09,2.2330883366902103e-09,10310703.974421635,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
8,0.001966206851966523,7.699061032207332e-07,100,7.009269488332944e-10,1.7753578766853967e-10,5513161.589707746,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
9,0.00028194507994747266,1.985453578931543e-08,100,5.796503702221837e-10,3.3427741227034113e-11,23321396.73266968,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
10,0.0005235672297294065,5.991747065739801e-08,100,7.08065223254848e-10,9.362574680243582e-11,18219740.87948829,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
11,0.0015018942341413738,6.647140180650852e-07,100,7.02303092307167e-10,3.9344596338865965e-10,18848381.20678911,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
12,0.0006382995508512877,1.2273150133064294e-07,100,5.741802976656405e-10,4.20033597704669e-11,6557457.651854209,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
13,0.011983984986213838,3.6877774439664286e-05,100,2.0353871167710615e-09,1.3548435678021363e-09,3099416.396125033,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
14,0.001155939341085995,3.454745055329543e-07,100,6.739397770841221e-10,1.8565734554341043e-10,8689152.552331265,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
15,0.000547807460781111,8.848154263807331e-08,100,5.242188226549536e-10,1.065862794530885e-10,16014109.972860696,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
16,0.0022599058518973382,1.8478198054355842e-06,100,4.4509064431708035e-10,2.528441274600547e-10,8682009.932742687,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
17,0.0009930782161596203,2.150434125819544e-07,100,5.823803215364298e-10,6.860136185925725e-11,13103965.659591194,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
18,0.0024361586414471644,1.4294784426433768e-06,100,7.587772870832317e-10,3.0703039873993266e-10,14006798.741220001,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
19,0.0011407908828142506,3.6278053378313484e-07,100,6.840399602884233e-10,1.1921525897276525e-10,7343306.16485662,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
20,0.0009212842450322102,1.7100283137288244e-07,100,8.156856368341097e-10,9.167353402659661e-11,5572662.106627994,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
21,0.00042235731438919333,4.252052831571958e-08,100,6.244863032232416e-10,9.4727843956527e-11,13970808.93673178,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
22,0.0008346507317280457,1.8725419474062653e-07,100,8.078693670173902e-10,1.508414286112979e-10,4774335.080292711,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
23,0.003092644879268669,2.3817045693579785e-06,100,8.339065768532046e-10,2.0303513166543727e-10,7558879.578484986,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
24,0.0008546350048338387,2.0267020337441805e-07,100,5.738138842911409e-10,7.26158438329105e-11,6978058.756606758,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
25,0.0003943277464740102,3.053277784706714e-08,100,4.4063917400942153e-10,5.169775967409883e-11,12455029.266974004,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
26,0.0007586939419508554,1.8240693430371991e-07,100,5.334706484196676e-10,8.862699656169445e-11,7638022.655354279,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
27,0.0016283531257889367,5.8487282135841e-07,100,5.705109202075486e-10,1.3577515792896292e-10,15602684.875274014,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
28,0.0010949302689301531,2.616521170682362e-07,100,5.542982021196717e-10,6.533020136289391e-11,13445776.75794604,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
29,0.0007293734492291119,1.3459301402399381e-07,100,5.541678463726191e-10,6.779343465300892e-11,8947489.28531901,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
30,0.0006936833303296803,9.283319536719604e-08,100,6.207091670612529e-10,5.896264628652365e-11,10051947.765851885,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
31,0.001642287557656101,6.040533516071534e-07,100,6.971875483306725e-10,1.4593490718010398e-10,4760080.101485631,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
32,0.0014137772676261731,4.7181828083213375e-07,100,6.274889368246238e-10,1.3836804613001127e-10,9523027.235508991,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
33,0.0020144264111374957,9.648179997289873e-07,100,9.069047912303587e-10,3.235358501831085e-10,6668675.435072242,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
34,0.0022650925697112064,1.1683132052192264e-06,100,6.961161963559142e-10,2.405405927945542e-10,14970482.674146125,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
35,0.0020264530232139834,1.153352777142543e-06,100,6.261379247701103e-10,1.9802587989871963e-10,15900434.78284917,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
36,0.0005931322259896434,7.86356493641238e-08,100,5.611044867464136e-10,1.1178551154130124e-10,11563242.617593141,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
37,0.0011044607854747853,2.5497682383261876e-07,100,6.143216244534456e-10,5.632797186699707e-11,7059651.583118995,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
38,0.0014613114890036911,5.225324020990884e-07,100,5.908980291094958e-10,1.2812969088164016e-10,9524546.244353458,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
39,0.00027543928946947014,2.244225985515834e-08,100,4.2876034983985456e-10,3.09386781185814e-11,20822700.657790218,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
40,0.0003305837688366962,2.6659952633069715e-08,100,4.6308099417771113e-10,9.952334705027883e-11,8404515.707446784,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
41,0.002992444894124574,3.1032191454704117e-06,100,5.634411261637819e-10,1.869444596212945e-10,15101867.677389571,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
42,0.000615119205504653,1.0123988885737325e-07,100,6.077202589783117e-10,4.54947178923455e-11,7812148.629484864,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
43,0.0015186002708453238,4.6300052039193404e-07,100,8.09480183564286e-10,4.787083052467464e-10,8840019.150731187,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
44,0.0006416779613745521,9.50365296124891e-08,100,7.923739232326045e-10,4.233715362076316e-11,7921611.2471097745,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
45,0.0007350083332861971,1.1957684180263015e-07,100,6.773267424458913e-10,7.428873279659288e-11,9161333.167860357,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
46,0.0010544759182585899,2.847658031565e-07,100,6.270839040892194e-10,1.632422197294451e-10,10859662.168762142,1.0,0.01,1e-06,1e-06,0.8,1e-06,1.0,1.0,0.01
