,Error_L1,Error_L2,F1_score,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.042174011621190895,0.00015212440050273022,1.0,1000,1.9533532412124047e-08,1.9489185967829315e-08,8275988.7197893895,1,0.0001,1.0,1.0,0.01
1,0.04094950170953155,0.0001635248030880242,1.0,1000,2.9657779376311872e-08,2.8826040777481503e-08,17416252.756665982,1,0.0001,1.0,1.0,0.01
2,0.04202624761725331,0.00012505515414599995,1.0,1000,4.841811958895934e-09,4.938295418741497e-09,19721076.056422256,1,0.0001,1.0,1.0,0.01
3,0.057746105960554434,0.0002679607128955116,1.0,1000,2.1646697196114426e-08,2.0722779728341266e-08,12415050.827177018,1,0.0001,1.0,1.0,0.01
4,0.0573597961939719,0.0001900246787384974,1.0,1000,1.7437309564603647e-08,1.7756051449041077e-08,9266145.249409176,1,0.0001,1.0,1.0,0.01
5,0.06619623227195301,0.000561273418113601,1.0,1000,7.848338554821477e-08,7.73979982770124e-08,8494879.25970947,1,0.0001,1.0,1.0,0.01
6,0.0555088301936672,0.000182632314772815,1.0,1000,4.294180827053625e-08,4.251760887393475e-08,9820881.779048488,1,0.0001,1.0,1.0,0.01
7,0.055767430211885516,0.0002612326027027668,1.0,1000,5.191654898973134e-08,5.065637756663471e-08,14640824.948845934,1,0.0001,1.0,1.0,0.01
8,0.018165974354568917,3.4494954210667734e-05,1.0,1000,3.590133181798631e-09,3.246274702132937e-09,10477292.077197917,1,0.0001,1.0,1.0,0.01
9,0.07081813965415294,0.000603264130270192,1.0,1000,7.276672101465553e-09,7.202559398336029e-09,11211831.669806853,1,0.0001,1.0,1.0,0.01
10,0.0244957081283891,3.852949969591166e-05,1.0,1000,1.0156678416297931e-08,1.0140479855238358e-08,11145862.643974984,1,0.0001,1.0,1.0,0.01
11,0.04427807193223438,0.00013857768688575918,1.0,1000,1.9318492607988268e-08,1.8532237702255753e-08,9231877.045202084,1,0.0001,1.0,1.0,0.01
12,0.04248371925057757,0.0001153404102562867,1.0,1000,3.888668575813622e-08,3.782456955250339e-08,7061339.99290561,1,0.0001,1.0,1.0,0.01
13,0.027577161014574126,5.528994347967978e-05,1.0,1000,1.1585360570224705e-07,1.126959367891537e-07,14839372.790555744,1,0.0001,1.0,1.0,0.01
14,0.02158848260273307,3.0511435379720194e-05,1.0,1000,4.749728046769353e-08,4.8437602172862754e-08,6524926.501205764,1,0.0001,1.0,1.0,0.01
15,0.03308390782437045,0.00012503678219377264,1.0,1000,8.3762979690188e-09,8.168000520451871e-09,13432929.486375974,1,0.0001,1.0,1.0,0.01
16,0.0728236243963155,0.0007574525122127366,1.0,1000,3.694708951904872e-08,3.630883844482251e-08,23837229.134038415,1,0.0001,1.0,1.0,0.01
17,0.05096617929238028,0.00018298967869382284,1.0,1000,1.916449841096982e-08,1.8274255661113636e-08,13746571.57589164,1,0.0001,1.0,1.0,0.01
18,0.02849757267722919,5.904038111432293e-05,1.0,1000,8.35172968950703e-08,8.443319822060006e-08,12626920.193352137,1,0.0001,1.0,1.0,0.01
19,0.03737885243556772,8.411856860374358e-05,1.0,1000,5.972017221286057e-09,6.272549428312298e-09,19588008.885948725,1,0.0001,1.0,1.0,0.01
20,0.04168892254341151,9.403645959745893e-05,1.0,1000,1.895136924905803e-08,1.826558433554023e-08,7057156.002468583,1,0.0001,1.0,1.0,0.01
21,0.033924400742877,8.688124488696274e-05,1.0,1000,1.114742395186839e-08,1.1196436058436821e-08,10825162.10339118,1,0.0001,1.0,1.0,0.01
22,0.016279773394047018,1.6606809891225515e-05,1.0,1000,5.073696917574764e-09,4.5892683043089345e-09,15213092.653722996,1,0.0001,1.0,1.0,0.01
23,0.04602568794607939,0.00018457409711324744,0.9333333333333333,1000,3.253606862964806e-08,3.176418439691414e-08,9445979.048717821,0,0.0001,1.0,0.875,0.01
24,0.055044825288923266,0.00029173591832033644,1.0,1000,3.6262267223851736e-08,3.393496422079013e-08,10949124.980717475,1,0.0001,1.0,1.0,0.01
25,0.043252963172870626,8.143622341892035e-05,1.0,1000,1.943866292210524e-08,1.9286384548604004e-08,7036908.186201737,1,0.0001,1.0,1.0,0.01
26,0.03669768032820256,8.714791732039991e-05,1.0,1000,5.981666515863755e-09,6.698955079189271e-09,12131642.4569118,1,0.0001,1.0,1.0,0.01
27,0.04193673882140014,0.0001163242822859809,1.0,1000,1.6292980440930332e-08,1.681482651887901e-08,20254742.183745075,1,0.0001,1.0,1.0,0.01
28,0.04552174052137328,0.00011928020786156472,1.0,1000,2.133325475232105e-08,2.0723391550502666e-08,12559402.933602085,1,0.0001,1.0,1.0,0.01
29,0.04552048431059398,0.00021967001287259824,1.0,1000,8.974080855305002e-09,8.301043382824475e-09,18830971.11727956,1,0.0001,1.0,1.0,0.01
30,0.07096879566198275,0.0005470648607296455,1.0,1000,3.234729191974319e-08,3.20148015732805e-08,7178538.753597761,1,0.0001,1.0,1.0,0.01
31,0.05061024546675283,0.00021644974135884396,1.0,1000,3.5929841148409156e-08,3.62933213850039e-08,14954433.68012033,1,0.0001,1.0,1.0,0.01
32,0.05996459183959507,0.00025816469423719016,1.0,1000,2.2038172402953558e-08,2.183903547771734e-08,8612231.77726279,1,0.0001,1.0,1.0,0.01
33,0.06693082576581828,0.0004581928097106254,1.0,1000,1.8398016012242004e-08,1.8625630598421497e-08,10428905.02964269,1,0.0001,1.0,1.0,0.01
34,0.08368258995124574,0.0008507293371469151,0.9333333333333333,1000,1.5518284499811118e-07,1.561536882271214e-07,7402608.022493132,0,0.0001,0.875,1.0,0.01
35,0.044796672599491896,0.00018557344322506876,1.0,1000,1.4996148789958668e-08,1.504560950195552e-08,7448099.222417488,1,0.0001,1.0,1.0,0.01
36,0.0388126489567247,6.303649385387901e-05,1.0,1000,1.0211506740572919e-08,9.095886869587937e-09,16016979.660843667,1,0.0001,1.0,1.0,0.01
37,0.05930792255919016,0.0002287207114605306,1.0,1000,1.0877347714270128e-07,1.0834539786111477e-07,7679555.223248698,1,0.0001,1.0,1.0,0.01
38,0.08230991577067043,0.0006285352574269235,1.0,1000,1.5607244447033272e-07,1.593035892792938e-07,5223923.686124645,1,0.0001,1.0,1.0,0.01
39,0.03230770351798015,9.59856009242933e-05,1.0,1000,9.356244738772076e-09,9.35869615870839e-09,11146376.083887516,1,0.0001,1.0,1.0,0.01
40,0.0444255494857239,0.0001365442830426402,1.0,1000,1.2867431854778142e-08,1.2294759972860177e-08,12613608.75386968,1,0.0001,1.0,1.0,0.01
41,0.06704763633649446,0.0003457664995056884,1.0,1000,5.008422126698798e-08,4.718149561345361e-08,3158305.503464068,1,0.0001,1.0,1.0,0.01
42,0.023947864464091986,4.606544012238654e-05,1.0,1000,4.401982902708814e-09,4.118197727906968e-09,12911145.137463318,1,0.0001,1.0,1.0,0.01
43,0.12579135325426827,0.0015993383201067868,0.8750000000000001,1000,3.9422978381096906e-08,3.880051505340902e-08,14585820.559085887,0,0.0001,0.7777777777777778,1.0,0.01
44,0.050324364832978113,0.00020642627335852544,1.0,1000,2.572021236685915e-08,2.4149882915197983e-08,11963839.305753557,1,0.0001,1.0,1.0,0.01
45,0.015965690055061356,1.6620850800438734e-05,1.0,1000,2.99435825440737e-09,2.866297615299571e-09,18770831.341573678,1,0.0001,1.0,1.0,0.01
46,0.06749204304020971,0.0004909312807131332,1.0,1000,1.7160600072754893e-07,1.681324399776242e-07,10924079.686448421,1,0.0001,1.0,1.0,0.01
47,0.027168930310873415,5.7194010714037725e-05,1.0,1000,4.388256452441724e-08,4.115237021388214e-08,10060487.219265925,1,0.0001,1.0,1.0,0.01
48,0.036316801866741424,8.355628873569837e-05,1.0,1000,6.5206779295925246e-09,6.3947230283632644e-09,11825864.36612046,1,0.0001,1.0,1.0,0.01
49,0.08304873256281232,0.0009078091522056229,0.9411764705882353,1000,1.4430856338496157e-07,1.4444408180714497e-07,8746608.54902594,0,0.0001,0.8888888888888888,1.0,0.01
50,0.056974073696503126,0.00028943759547049905,1.0,1000,1.9328813949858152e-08,1.9198496462968387e-08,11309694.736829195,1,0.0001,1.0,1.0,0.01
51,0.07919610093464342,0.00044534785791141695,1.0,1000,6.802896471000928e-08,6.776037714097769e-08,11956000.65773656,1,0.0001,1.0,1.0,0.01
52,0.055783831110371065,0.00020406416770336734,1.0,1000,5.05067114315327e-08,5.037943419306913e-08,8910497.019001056,1,0.0001,1.0,1.0,0.01
53,0.05739415501074916,0.000346010513384252,1.0,1000,2.641849545614216e-08,2.5016214974389144e-08,9357539.944695912,1,0.0001,1.0,1.0,0.01
54,0.022520280496667332,4.337632230248311e-05,1.0,1000,5.153946391917075e-09,4.991886835748975e-09,12685853.183239885,1,0.0001,1.0,1.0,0.01
55,0.021401968188742123,2.9222476480086773e-05,1.0,1000,4.754454893457028e-09,4.748805338653868e-09,25318968.291670922,1,0.0001,1.0,1.0,0.01
56,0.06365570779554262,0.000281113578792333,1.0,1000,3.1740012839633746e-08,3.112461823375356e-08,2945098.269184029,1,0.0001,1.0,1.0,0.01
57,0.04095221564141698,0.00010364480352567643,1.0,1000,2.2717659152897056e-08,2.1717110031643226e-08,13930523.384204505,1,0.0001,1.0,1.0,0.01
58,0.037687566282390506,8.804844367255134e-05,1.0,1000,3.950416884613483e-08,3.927748140146685e-08,6864705.96773923,1,0.0001,1.0,1.0,0.01
59,0.07280246493845498,0.0007644839528237693,1.0,1000,1.172354307472445e-07,1.2092875025330518e-07,5576508.617584703,1,0.0001,1.0,1.0,0.01
60,0.0498175526789905,0.0002117464973493411,1.0,1000,1.1605650814757248e-07,1.1718769760450228e-07,12195297.95013109,1,0.0001,1.0,1.0,0.01
61,0.06958561359636707,0.0003438396715497691,1.0,1000,6.560426101226771e-08,6.360296114539777e-08,11249575.786793789,1,0.0001,1.0,1.0,0.01
62,0.10143213024121868,0.0018388854823230963,0.9333333333333333,1000,4.4889025764057054e-08,4.3973216907631764e-08,8109523.977763093,0,0.0001,0.875,1.0,0.01
63,0.03662362764700973,9.902636296250487e-05,1.0,1000,3.386561028236458e-08,3.249883512509163e-08,8968410.59732083,1,0.0001,1.0,1.0,0.01
64,0.05821589722961441,0.00026952755200812924,1.0,1000,9.410717067970564e-09,9.868802143284224e-09,10652790.131496932,1,0.0001,1.0,1.0,0.01
65,0.049261750665629066,0.00026530282638360844,1.0,1000,1.0787294817887847e-08,1.061698930802473e-08,8974929.176199507,1,0.0001,1.0,1.0,0.01
66,0.035910803098526074,9.250976876017626e-05,1.0,1000,9.584576576779409e-09,8.516647471508913e-09,25907327.494380914,1,0.0001,1.0,1.0,0.01
67,0.05414009136168332,0.00024104101599782036,1.0,1000,7.901955205726659e-08,7.698963160140651e-08,7148144.652877376,1,0.0001,1.0,1.0,0.01
68,0.06101719026452429,0.0002531638087147739,0.9090909090909091,1000,1.889555891810691e-08,1.819670858071857e-08,2624365.6216720166,0,0.0001,1.0,0.8333333333333334,0.01
