,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.035484308253038825,0.00010875551585190387,1000,2.7962846928572012e-08,2.7264298043735637e-08,8275988.7197893895,1,N/A,1.0,1.0,0.01
1,0.02194224628906397,4.463945995793264e-05,1000,8.038026125292343e-09,7.85449850071325e-09,17416252.756665982,1,N/A,1.0,1.0,0.01
2,0.0291829174282217,7.5836994120412e-05,1000,7.978548328256076e-08,8.114427774431803e-08,19721076.056422256,1,N/A,1.0,1.0,0.01
3,0.049366358447678324,0.00020072311682332929,1000,2.9388312471503856e-08,2.9694253026808837e-08,12415050.827177018,1,N/A,1.0,1.0,0.01
4,0.03260428605270658,7.027097068555456e-05,1000,1.7037223991201863e-08,1.7011173755554413e-08,9266145.249409176,1,N/A,1.0,1.0,0.01
5,0.050537547396857445,0.0003323134998505616,1000,1.694775956584407e-08,1.5420617397514312e-08,8494879.25970947,0,N/A,0.8888888888888888,1.0,0.01
6,0.031237309523901025,5.852985151484374e-05,1000,1.1003626460972147e-08,1.10051578890242e-08,9820881.779048488,1,N/A,1.0,1.0,0.01
7,0.026115492406164117,4.969114267412495e-05,1000,2.2176980787977897e-08,2.2273095979027307e-08,14640824.948845934,1,N/A,1.0,1.0,0.01
8,0.04641499380450128,0.00034373064898922807,1000,4.6570992843149895e-08,4.660066807846819e-08,10477292.077197917,1,N/A,1.0,1.0,0.01
9,0.06694186423803669,0.0006006462057590043,1000,1.2671087786706047e-08,1.1944102569468556e-08,11211831.669806853,1,N/A,1.0,1.0,0.01
10,0.03214722534511956,5.479034347709472e-05,1000,1.612231482905605e-08,1.5298837189330986e-08,11145862.643974984,1,N/A,1.0,1.0,0.01
11,0.051107036024820855,0.00019154077824795957,1000,8.715023095386868e-08,8.682959902478318e-08,9231877.045202084,1,N/A,1.0,1.0,0.01
12,0.06621306813550312,0.0004418813510928125,1000,1.247360483144476e-07,1.2558084988542694e-07,7061339.99290561,1,N/A,1.0,1.0,0.01
