,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,,,20,,,11623615.995390907,0.8095238095238095,0.0005,,0.0,0.01
1,1.2414266723919443,0.11514843249876625,20,3.1566350708346344e-06,3.156496506842528e-06,13496741.060978502,0.5238095238095238,0.0005,0.25925925925925924,1.0,0.01
2,,,20,,,22922326.193686817,0.8095238095238095,0.0005,,0.0,0.01
3,,,20,,,8315983.038444865,0.8095238095238095,0.0005,,0.0,0.01
4,,,20,,,14305361.718330411,0.7857142857142857,0.0005,,0.0,0.01
5,,,20,,,2300133.747987359,0.8095238095238095,0.0005,,0.0,0.01
6,,,20,,,17578656.025843795,0.8095238095238095,0.0005,,0.0,0.01
7,1.011550153146223,0.10105541979094694,20,1.0506305211829823e-05,1.0493154459939015e-05,10310703.974421635,0.5952380952380952,0.0005,0.2608695652173913,1.0,0.01
8,,,20,,,5513161.589707746,0.8095238095238095,0.0005,,0.0,0.01
9,0.8075476712556439,0.04456182792608062,20,1.4185341831803847e-05,1.4199422654936443e-05,23321396.73266968,0.6904761904761905,0.0005,0.35,1.0,0.01
10,,,20,,,18219740.87948829,0.8333333333333334,0.0005,,0.0,0.01
11,,,20,,,18848381.20678911,0.8571428571428571,0.0005,,0.0,0.01
12,,,20,,,6557457.651854209,0.8333333333333334,0.0005,,0.0,0.01
13,0.5632779821009402,0.06694460456156454,20,1.7148229476698896e-05,1.7162785138089545e-05,3099416.396125033,0.7619047619047619,0.0005,0.14285714285714285,0.2,0.01
14,1.3093275351000808,0.14795439285765283,20,8.864916711009823e-06,8.84265377354679e-06,8689152.552331265,0.5238095238095238,0.0005,0.21739130434782608,0.7142857142857143,0.01
15,0.8491919547899653,0.0720367238169326,20,1.2769841134916426e-05,1.276415509784125e-05,16014109.972860696,0.6904761904761905,0.0005,0.3333333333333333,0.8571428571428571,0.01
16,,,20,,,8682009.932742687,0.8095238095238095,0.0005,,0.0,0.01
17,,,20,,,13103965.659591194,0.8095238095238095,0.0005,,0.0,0.01
18,1.1343867765561522,0.09040110687439366,20,8.290624819737436e-06,8.26581183287126e-06,14006798.741220001,0.5714285714285714,0.0005,0.2608695652173913,0.8571428571428571,0.01
19,,,20,,,7343306.16485662,0.8095238095238095,0.0005,,0.0,0.01
