,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.5724486164998253,0.07476660817686748,20,3.7252503310201e-07,3.7008387089817145e-07,11623615.995390907,0.8333333333333334,0,0.5333333333333333,1.0,0.01
1,0.8700562015794693,0.07024385732204755,20,3.924194218976381e-07,3.921549954245464e-07,13496741.060978502,0.7619047619047619,0,0.4117647058823529,1.0,0.01
2,0.3584119508614088,0.017992967655930735,20,2.2885122461376897e-07,2.2534205176947573e-07,22922326.193686817,0.8571428571428571,0,0.5714285714285714,1.0,0.01
3,0.44148262865357385,0.03716021950089807,20,1.5512869158146043e-07,1.548135233733834e-07,8315983.038444865,0.9285714285714286,0,0.7272727272727273,1.0,0.01
4,0.09289413743603248,0.0019510212586554636,20,5.878936558580369e-08,5.6829523620642954e-08,14305361.718330411,0.9761904761904762,0,0.9,1.0,0.01
5,0.14847417436616586,0.001962546112741656,20,7.850885504053095e-08,8.092713392064984e-08,2300133.747987359,0.8809523809523809,0,0.7142857142857143,0.625,0.01
6,0.5523531755297498,0.03983070012392749,20,3.1760025158591995e-07,3.149553989907079e-07,17578656.025843795,0.7857142857142857,0,0.4666666666666667,0.875,0.01
7,0.09557863506661698,0.0014910950034334764,20,5.520985254541911e-08,5.597069515638823e-08,10310703.974421635,0.9523809523809523,0,0.75,1.0,0.01
8,0.2246603726740557,0.006800731917098594,20,1.7018189582974122e-07,1.6772124259174143e-07,5513161.589707746,0.9523809523809523,0,0.8,1.0,0.01
9,0.21880498115184455,0.007168349917753826,20,2.3751327429562083e-07,2.400828559630781e-07,23321396.73266968,0.9047619047619048,0,0.6363636363636364,1.0,0.01
10,0.5836788778390138,0.07225988534172628,20,3.936482552892344e-07,3.900403318815804e-07,18219740.87948829,0.8095238095238095,0,0.46153846153846156,0.8571428571428571,0.01
11,0.22005211262055765,0.007557107771968041,20,1.9085891811691527e-07,1.8878543518271908e-07,18848381.20678911,0.9285714285714286,0,0.6666666666666666,1.0,0.01
12,0.6103623500947676,0.07054803673634358,20,3.568071411346224e-07,3.545652890759107e-07,6557457.651854209,0.8571428571428571,0,0.5384615384615384,1.0,0.01
13,0.08775087637256436,0.0007071270933197626,20,3.674517694439937e-08,3.5439476669868314e-08,3099416.396125033,0.9285714285714286,0,1.0,0.4,0.01
14,0.21861628929261442,0.006612092749230203,20,1.508022196521302e-07,1.4976756731509047e-07,8689152.552331265,0.9285714285714286,0,0.7,1.0,0.01
15,0.03271247265271857,0.00012160507443306117,20,1.2683371688020798e-08,1.2893405664001744e-08,16014109.972860696,0.9761904761904762,0,1.0,0.8571428571428571,0.01
16,0.39436556674269996,0.019498043727092296,20,3.7471398967007163e-07,3.708830725131617e-07,8682009.932742687,0.9047619047619048,0,0.6666666666666666,1.0,0.01
17,0.427702584841697,0.016508175684304106,20,1.8430201502106122e-07,1.820613810694184e-07,13103965.659591194,0.8571428571428571,0,0.5714285714285714,1.0,0.01
18,0.23954313118041498,0.005540231105583274,20,1.0298716970421046e-07,1.0105589373932719e-07,14006798.741220001,0.9047619047619048,0,0.6363636363636364,1.0,0.01
19,0.19175091937995575,0.005834313527160882,20,1.6819201328891057e-07,1.658508649508789e-07,7343306.16485662,0.9523809523809523,0,0.8,1.0,0.01
