,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.001997816619464692,5.481806699409407e-07,20,4.834536337694895e-10,8.401504904957316e-11,11623615.995390907,1.0,0,1.0,1.0,0.01
1,0.034087482690186834,0.00012473459725266973,20,1.0443296248005394e-09,8.094055147775948e-10,13496741.060978502,1.0,0,1.0,1.0,0.01
2,0.0025000049670704963,6.927595826157472e-07,20,5.695589508902201e-10,1.2485755514443616e-10,22922326.193686817,1.0,0,1.0,1.0,0.01
3,0.003884935164601097,2.697915628870055e-06,20,6.199149525692769e-10,5.3848045286492386e-11,8315983.038444865,1.0,0,1.0,1.0,0.01
4,0.0016326351604638812,3.6236895776909047e-07,20,4.810631173856813e-10,1.5528935308319454e-10,14305361.718330411,1.0,0,1.0,1.0,0.01
5,0.011819209570293277,1.8212092187775464e-05,20,6.41617182614161e-10,4.1222551018629295e-10,2300133.747987359,0.9761904761904762,0,1.0,0.875,0.01
6,0.00537159215051699,3.224717657791229e-06,20,4.858377874255677e-10,1.849067804067458e-10,17578656.025843795,1.0,0,1.0,1.0,0.01
7,0.009141724816357655,1.3142816767848353e-05,20,7.227519451052516e-10,3.255835867576249e-10,10310703.974421635,1.0,0,1.0,1.0,0.01
8,0.0039347208651968925,2.0214329850451633e-06,20,5.640264808856626e-10,1.7421859073661547e-10,5513161.589707746,1.0,0,1.0,1.0,0.01
9,0.0025954069964277317,1.0745341793175002e-06,20,4.545149751986786e-10,1.1958487335964728e-10,23321396.73266968,1.0,0,1.0,1.0,0.01
10,0.010595729739189062,2.1666001662914712e-05,20,7.6320317493885e-10,2.5807203183799694e-10,18219740.87948829,1.0,0,1.0,1.0,0.01
11,0.0040946862735233595,2.738920746309531e-06,20,5.206766586091426e-10,2.1859758579439523e-10,18848381.20678911,1.0,0,1.0,1.0,0.01
12,0.0029738647805696945,1.0542145924766155e-06,20,4.748246884290984e-10,1.1354937682369026e-10,6557457.651854209,1.0,0,1.0,1.0,0.01
13,0.006842937997917186,8.075268655123175e-06,20,5.914172489481212e-10,2.2844550734788365e-10,3099416.396125033,1.0,0,1.0,1.0,0.01
14,0.0047342645967876785,2.134206727794312e-06,20,5.619537963612771e-10,1.5273443311830432e-10,8689152.552331265,1.0,0,1.0,1.0,0.01
15,0.0038540846432485506,3.230005873577633e-06,20,5.072037633398195e-10,1.527922165456336e-10,16014109.972860696,0.9761904761904762,0,1.0,0.8571428571428571,0.01
16,0.00399599304137043,3.4539573855814413e-06,20,4.7246487217446e-10,3.686392623905583e-10,8682009.932742687,1.0,0,1.0,1.0,0.01
17,0.0068715186763529355,7.144312995813873e-06,20,6.223155421496035e-10,1.8292835788249993e-10,13103965.659591194,1.0,0,1.0,1.0,0.01
18,0.0027623506512998606,1.0497496105990474e-06,20,4.947908073252033e-10,7.728173215772421e-11,14006798.741220001,1.0,0,1.0,1.0,0.01
19,0.009710574410042654,1.536865760532384e-05,20,8.814632239371673e-10,4.2001931030504693e-10,7343306.16485662,1.0,0,1.0,1.0,0.01
