,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.659324295884692,0.08998464916858022,20,7.144021054676477e-07,7.116884712914698e-07,11623615.995390907,0.8095238095238095,0.0005,0.5,1.0,0.01
1,0.9608716407137651,0.08633527045127844,20,6.412560435780745e-07,6.431812261472277e-07,13496741.060978502,0.7142857142857143,0.0005,0.3684210526315789,1.0,0.01
2,0.31943333947821995,0.014218648309008411,20,3.09153154486735e-07,3.068023302161359e-07,22922326.193686817,0.9047619047619048,0.0005,0.6666666666666666,1.0,0.01
3,0.5048026013409379,0.04000102582724186,20,3.4190597002903673e-07,3.400781586338196e-07,8315983.038444865,0.9047619047619048,0.0005,0.6666666666666666,1.0,0.01
4,0.15054154497910566,0.003610671558768572,20,1.5562175331720555e-07,1.533596350606789e-07,14305361.718330411,0.9285714285714286,0.0005,0.75,1.0,0.01
5,0.19843049783424316,0.003950363748504417,20,6.696119903637454e-07,6.677047921663168e-07,2300133.747987359,0.8095238095238095,0.0005,0.5,0.5,0.01
6,0.47128175464605104,0.03447828616372871,20,3.3116257489270775e-07,3.2877289350335866e-07,17578656.025843795,0.8571428571428571,0.0005,0.5714285714285714,1.0,0.01
7,0.04049228483192937,0.0002524107782530469,20,6.156616762417787e-08,6.299184635052863e-08,10310703.974421635,1.0,0.0005,1.0,1.0,0.01
8,0.42799280859777533,0.019748252185463704,20,6.153622349213901e-07,6.061459448150214e-07,5513161.589707746,0.8809523809523809,0.0005,0.6363636363636364,0.875,0.01
9,0.15304445628990623,0.004759467081366252,20,1.458483931838291e-07,1.4942367305108697e-07,23321396.73266968,0.9285714285714286,0.0005,0.7,1.0,0.01
10,0.6805793273862942,0.08982883099540181,20,7.528169210742261e-07,7.529667601016814e-07,18219740.87948829,0.7857142857142857,0.0005,0.42857142857142855,0.8571428571428571,0.01
11,0.2243829349118858,0.008074936632358304,20,2.612210982702e-07,2.5960969313193346e-07,18848381.20678911,0.9285714285714286,0.0005,0.6666666666666666,1.0,0.01
12,1.0742128441650511,0.16005707423311627,20,1.5572109111395078e-06,1.5566517295637965e-06,6557457.651854209,0.7380952380952381,0.0005,0.3888888888888889,1.0,0.01
13,0.12107806824912863,0.0017645169501708192,20,2.146056599728853e-07,2.0899696117779835e-07,3099416.396125033,0.8809523809523809,0.0005,0.5,0.6,0.01
14,0.4535594441223418,0.021951891465805624,20,7.877052266402057e-07,7.843866868468872e-07,8689152.552331265,0.7857142857142857,0.0005,0.42857142857142855,0.8571428571428571,0.01
15,0.06409425402064657,0.000598962901171685,20,2.58617396743722e-07,2.587631059517643e-07,16014109.972860696,0.9285714285714286,0.0005,0.8333333333333334,0.7142857142857143,0.01
16,0.4223895670426121,0.023171440661891907,20,4.630375213018987e-07,4.584440306375572e-07,8682009.932742687,0.9047619047619048,0.0005,0.6666666666666666,1.0,0.01
17,0.4852949275804834,0.021477767446829076,20,4.067863356822005e-07,4.024948734251878e-07,13103965.659591194,0.8095238095238095,0.0005,0.5,1.0,0.01
18,0.4296311264838108,0.01859312891997892,20,4.331134652210074e-07,4.28365261978458e-07,14006798.741220001,0.8095238095238095,0.0005,0.4666666666666667,1.0,0.01
19,0.23558046706232638,0.009261890572146698,20,6.28088201934017e-07,6.236786799665387e-07,7343306.16485662,0.9047619047619048,0.0005,0.7,0.875,0.01
