,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.5865492525052177,0.08427938599741633,20,1.123312557670441e-06,1.1251398030178583e-06,11623615.995390907,0.8571428571428571,0.01,0.5833333333333334,0.875,0.01
1,0.8141648578552781,0.09418916944205466,20,3.922813395635375e-06,3.934694765549176e-06,13496741.060978502,0.7380952380952381,0.01,0.3,0.42857142857142855,0.01
2,0.7303329565582067,0.044192266802148196,20,4.363253820043454e-06,4.365662365690571e-06,22922326.193686817,0.6666666666666666,0.01,0.35,0.875,0.01
3,0.4467379321343589,0.04550142443053247,20,3.813957747753474e-06,3.815272224275814e-06,8315983.038444865,0.9523809523809523,0.01,0.875,0.875,0.01
4,0.08455432438760507,0.0018075558814792145,20,2.864638673262068e-07,2.8870998271419683e-07,14305361.718330411,0.9761904761904762,0.01,0.9,1.0,0.01
5,0.2253087267352977,0.010091525132044327,20,7.573050683333986e-06,7.562814134272029e-06,2300133.747987359,0.8571428571428571,0.01,0.75,0.375,0.01
6,0.7376473350496761,0.058269370395425145,20,1.4567326494043806e-06,1.4637643580229914e-06,17578656.025843795,0.7619047619047619,0.01,0.4375,0.875,0.01
7,0.03441443562547241,0.00022955835844242655,20,4.7319486903905637e-07,4.7362016029085457e-07,10310703.974421635,1.0,0.01,1.0,1.0,0.01
8,0.5939606230336053,0.048338854788582165,20,1.0317965891570132e-05,1.0315800246732416e-05,5513161.589707746,0.9047619047619048,0.01,0.75,0.75,0.01
9,0.2503697902766378,0.017057063799135738,20,5.537971373893413e-06,5.518760822220355e-06,23321396.73266968,0.9523809523809523,0.01,0.8571428571428571,0.8571428571428571,0.01
10,0.04585624699117313,0.0005287666576078594,20,7.43246897797694e-07,7.478782796521281e-07,18219740.87948829,0.9523809523809523,0.01,1.0,0.7142857142857143,0.01
11,0.41045132276835916,0.032421054054713266,20,2.13763466711184e-06,2.1309314542779456e-06,18848381.20678911,0.9047619047619048,0.01,0.625,0.8333333333333334,0.01
12,1.4453143172974097,0.24978765890773055,20,6.838914363210065e-06,6.8381761975868845e-06,6557457.651854209,0.6666666666666666,0.01,0.3157894736842105,0.8571428571428571,0.01
13,0.15860185342420233,0.003977733520547927,20,9.271350975816196e-06,9.264781855803178e-06,3099416.396125033,0.8333333333333334,0.01,0.25,0.2,0.01
14,0.481356570838561,0.02705571601473321,20,3.243196893066505e-06,3.23177468747486e-06,8689152.552331265,0.8333333333333334,0.01,0.5,0.7142857142857143,0.01
15,0.1424960723075136,0.0037831678883384076,20,1.062202990848379e-06,1.0682747537385636e-06,16014109.972860696,0.9047619047619048,0.01,0.7142857142857143,0.7142857142857143,0.01
16,0.8132703300587912,0.05968387427273601,20,3.063243070259152e-06,3.0629439217646047e-06,8682009.932742687,0.7857142857142857,0.01,0.47058823529411764,1.0,0.01
17,1.0055451159317286,0.0645229654002851,20,5.2379536254608294e-06,5.230117245365021e-06,13103965.659591194,0.6904761904761905,0.01,0.3684210526315789,0.875,0.01
18,0.818787957291553,0.06595343716516307,20,3.1334446383910466e-06,3.132716993819528e-06,14006798.741220001,0.7857142857142857,0.01,0.4375,1.0,0.01
19,0.3324998950251873,0.023886566439533363,20,4.788879946546358e-06,4.769619091087428e-06,7343306.16485662,0.9285714285714286,0.01,1.0,0.625,0.01
