,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.5916991839924415,0.07742218810674614,20,3.9033574572130675e-07,3.8723964291832564e-07,11623615.995390907,0.8333333333333334,1e-05,0.5333333333333333,1.0,0.01
1,0.8723753356678723,0.07063843510863699,20,3.961573651136359e-07,3.957828082798566e-07,13496741.060978502,0.7619047619047619,1e-05,0.4117647058823529,1.0,0.01
2,0.35771125988756514,0.017925789480122106,20,2.2799000633854699e-07,2.2442419271115931e-07,22922326.193686817,0.8571428571428571,1e-05,0.5714285714285714,1.0,0.01
3,0.4428680542562424,0.037189560358928904,20,1.6401862477226945e-07,1.6356942686915232e-07,8315983.038444865,0.9285714285714286,1e-05,0.7272727272727273,1.0,0.01
4,0.09076358963233255,0.0018723954770084293,20,5.1373714605247964e-08,4.962247226693452e-08,14305361.718330411,0.9761904761904762,1e-05,0.9,1.0,0.01
5,0.14689548781207398,0.0019375504807531644,20,7.663946925559951e-08,7.887028496368252e-08,2300133.747987359,0.8809523809523809,1e-05,0.7142857142857143,0.625,0.01
6,0.5510810227651232,0.03975526616182939,20,3.164334866919022e-07,3.1374292148904126e-07,17578656.025843795,0.7619047619047619,1e-05,0.4375,0.875,0.01
7,0.10117030345203144,0.0016246022425617705,20,6.582500680225088e-08,6.613666619728122e-08,10310703.974421635,0.9523809523809523,1e-05,0.75,1.0,0.01
8,0.22337442585007575,0.006801750286892487,20,1.6742434590468334e-07,1.649271214992026e-07,5513161.589707746,0.9523809523809523,1e-05,0.8,1.0,0.01
9,0.12584838313313015,0.002885516349810894,20,7.45505851330143e-08,7.782876501088635e-08,23321396.73266968,0.9285714285714286,1e-05,0.7,1.0,0.01
10,0.5041632371288802,0.05796540881649258,20,2.8771727166571224e-07,2.850598722438359e-07,18219740.87948829,0.8333333333333334,1e-05,0.5,0.8571428571428571,0.01
11,0.22022720124697334,0.007482717433227621,20,1.8994777731372953e-07,1.8754222135107613e-07,18848381.20678911,0.9285714285714286,1e-05,0.6666666666666666,1.0,0.01
12,0.6142906442926659,0.07169250472894828,20,3.6197008141376133e-07,3.6020652146193916e-07,6557457.651854209,0.8571428571428571,1e-05,0.5384615384615384,1.0,0.01
13,0.0875116424226435,0.0007106429259264814,20,3.698967713586934e-08,3.5676740297993476e-08,3099416.396125033,0.9285714285714286,1e-05,1.0,0.4,0.01
14,0.21141522955537118,0.006325212538086399,20,1.4311809583222686e-07,1.4190479886778174e-07,8689152.552331265,0.9285714285714286,1e-05,0.7,1.0,0.01
15,0.03288934870212333,0.00012644183229591953,20,1.3935781610024292e-08,1.419450965341668e-08,16014109.972860696,0.9761904761904762,1e-05,1.0,0.8571428571428571,0.01
16,0.38545139560304953,0.018620284659394012,20,3.604885657518588e-07,3.57080778711922e-07,8682009.932742687,0.9047619047619048,1e-05,0.6666666666666666,1.0,0.01
17,0.4266515053950086,0.016476400149304935,20,1.8310612699319135e-07,1.8079315367682948e-07,13103965.659591194,0.8333333333333334,1e-05,0.5333333333333333,1.0,0.01
18,0.24193293637505478,0.0056225526252275905,20,1.1065317443700623e-07,1.0876443168797015e-07,14006798.741220001,0.9047619047619048,1e-05,0.6363636363636364,1.0,0.01
19,0.18614229665115836,0.005767454226967823,20,1.6688332341135454e-07,1.641643078538357e-07,7343306.16485662,0.9761904761904762,1e-05,0.8888888888888888,1.0,0.01
