,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.0024540805190955504,7.501938664904393e-07,100,4.925924497198089e-10,9.833198223557971e-11,11623615.995390907,1.0,1e-07,1.0,1.0,0.01
1,0.034765387263700175,0.0001308759046707267,100,1.055158070137619e-09,8.23428770961475e-10,13496741.060978502,1.0,1e-07,1.0,1.0,0.01
2,0.002335204724314222,6.127898784473783e-07,100,5.662848997242072e-10,1.2159410952660978e-10,22922326.193686817,1.0,1e-07,1.0,1.0,0.01
3,0.0029101984239119586,1.6828706546677771e-06,100,6.19526382503919e-10,5.2738001105899184e-11,8315983.038444865,1.0,1e-07,1.0,1.0,0.01
4,0.00157910273465529,3.4680494668618176e-07,100,4.817245692176109e-10,1.550576740562181e-10,14305361.718330411,1.0,1e-07,1.0,1.0,0.01
5,0.011727905150477851,1.8035473320804442e-05,100,6.422329040385672e-10,4.138268548824001e-10,2300133.747987359,0.9761904761904762,1e-07,1.0,0.875,0.01
6,0.005463413940131454,3.3704720902010415e-06,100,4.884662159234075e-10,1.9031032531183547e-10,17578656.025843795,1.0,1e-07,1.0,1.0,0.01
7,0.011463650369759451,2.4379190992122723e-05,100,8.987787100117039e-10,5.15128806796349e-10,10310703.974421635,1.0,1e-07,1.0,1.0,0.01
8,0.003797726611025919,1.8922673724722906e-06,100,5.597691205488385e-10,1.7019326224200915e-10,5513161.589707746,1.0,1e-07,1.0,1.0,0.01
9,0.002564940705746446,1.108781844308467e-06,100,4.553174532231236e-10,1.2073862438026782e-10,23321396.73266968,1.0,1e-07,1.0,1.0,0.01
10,0.010101485906811224,1.9546221877686775e-05,100,7.568438147184433e-10,2.447793055267812e-10,18219740.87948829,1.0,1e-07,1.0,1.0,0.01
11,0.003968169754555806,2.5975650537214075e-06,100,5.151267267484356e-10,2.0999540247228375e-10,18848381.20678911,1.0,1e-07,1.0,1.0,0.01
12,0.0033229633549920583,1.2719198323988534e-06,100,4.843921281498694e-10,1.2163693352733505e-10,6557457.651854209,1.0,1e-07,1.0,1.0,0.01
13,0.006829612355355114,8.092723867205514e-06,100,5.901348659873608e-10,2.3061240205270456e-10,3099416.396125033,1.0,1e-07,1.0,1.0,0.01
14,0.004533039788800695,1.9950854149641746e-06,100,5.618796509724935e-10,1.4805267539048446e-10,8689152.552331265,1.0,1e-07,1.0,1.0,0.01
15,0.0038423836054435256,3.145492947653886e-06,100,5.05828175432917e-10,1.5774534799370218e-10,16014109.972860696,0.9761904761904762,1e-07,1.0,0.8571428571428571,0.01
16,0.003879097966426599,3.2423098153552117e-06,100,4.662395907431196e-10,3.583323714357077e-10,8682009.932742687,1.0,1e-07,1.0,1.0,0.01
17,0.006845414238889489,7.29961322507309e-06,100,6.260971775425539e-10,1.8302211303023966e-10,13103965.659591194,1.0,1e-07,1.0,1.0,0.01
18,0.002497962833419871,9.397117921613994e-07,100,4.89649519199232e-10,6.998269408913502e-11,14006798.741220001,1.0,1e-07,1.0,1.0,0.01
19,0.00969916651374863,1.5386727517733412e-05,100,8.814680645626386e-10,4.190554230268866e-10,7343306.16485662,1.0,1e-07,1.0,1.0,0.01
20,0.002634713899173884,1.0593828024488852e-06,100,8.245193521407908e-10,1.432247659914647e-10,5572662.106627994,1.0,1e-07,1.0,1.0,0.01
21,0.007448043295292298,7.230232935598677e-06,100,4.973459502621472e-10,2.929449170869407e-10,13970808.93673178,1.0,1e-07,1.0,1.0,0.01
22,0.001451677924584837,2.0086649755783903e-07,100,6.930103893325282e-10,1.2317803463303525e-10,4774335.080292711,1.0,1e-07,1.0,1.0,0.01
23,0.011408368374546014,1.9104974162813505e-05,100,7.051456916567789e-10,3.1748744810809057e-10,7558879.578484986,1.0,1e-07,1.0,1.0,0.01
