,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.027863355519320468,0.00011962449228257476,20,2.484763222059666e-09,2.1083146402024985e-09,11623615.995390907,0.9761904761904762,0,1.0,0.875,0.01
1,0.07613720694428044,0.0006023697171704755,20,4.417725454472684e-09,4.34902029707498e-09,13496741.060978502,0.9761904761904762,0,0.875,1.0,0.01
2,0.009218942771265589,1.627086661782819e-05,20,8.79782574795206e-10,3.8610896222711105e-10,22922326.193686817,1.0,0,1.0,1.0,0.01
3,0.008656287796088565,1.38303887029362e-05,20,7.311189976369387e-10,1.4320013436576993e-10,8315983.038444865,1.0,0,1.0,1.0,0.01
4,0.0044057337503928965,2.4527144189529542e-06,20,7.22057141238607e-10,4.846579926091507e-10,14305361.718330411,1.0,0,1.0,1.0,0.01
5,0.03327745556222991,0.00011502507917833998,20,1.9150528367124072e-09,2.0763186118160977e-09,2300133.747987359,0.9761904761904762,0,1.0,0.875,0.01
6,0.0231455897371596,6.971820331704423e-05,20,1.3391281792805252e-09,8.641657784167446e-10,17578656.025843795,1.0,0,1.0,1.0,0.01
7,0.034924112989418235,0.00016617061626930684,20,2.5681744496152183e-09,2.193921686044359e-09,10310703.974421635,1.0,0,1.0,1.0,0.01
8,0.01313720364828351,2.3766303050270445e-05,20,1.3399171958253468e-09,8.619478692086477e-10,5513161.589707746,1.0,0,1.0,1.0,0.01
9,0.028009692991972784,0.00018834264181747344,20,3.624218012256484e-09,3.789301835744197e-09,23321396.73266968,1.0,0,1.0,1.0,0.01
10,0.040166111381435665,0.00022671464708958635,20,4.128358723913388e-09,3.2420251077560614e-09,18219740.87948829,0.9761904761904762,0,1.0,0.8571428571428571,0.01
11,0.014452603849570358,4.675523007084203e-05,20,2.1183050579453353e-09,1.4879149817573261e-09,18848381.20678911,1.0,0,1.0,1.0,0.01
12,0.021322637233156798,0.00010882374146034207,20,1.867422156264286e-09,1.4871026037174557e-09,6557457.651854209,1.0,0,1.0,1.0,0.01
13,0.05607958757927135,0.00036713887060769415,20,6.5863785684610294e-09,5.942807035846841e-09,3099416.396125033,0.9285714285714286,0,1.0,0.4,0.01
14,0.018156667535000507,4.6816500197913e-05,20,1.3891706508564815e-09,9.968940002897418e-10,8689152.552331265,1.0,0,1.0,1.0,0.01
15,0.014510465529961524,3.745784919857819e-05,20,1.4754803837315712e-09,1.334142031956529e-09,16014109.972860696,0.9761904761904762,0,1.0,0.8571428571428571,0.01
16,0.00642093393829607,9.318238974932722e-06,20,7.409737573439642e-10,5.508503652916353e-10,8682009.932742687,1.0,0,1.0,1.0,0.01
17,0.025584825440354883,9.545674937067024e-05,20,1.9413582727909934e-09,1.2575982979101891e-09,13103965.659591194,1.0,0,1.0,1.0,0.01
18,0.022431291269196272,6.239932799358589e-05,20,1.597759058767219e-09,9.55922381989481e-10,14006798.741220001,1.0,0,1.0,1.0,0.01
19,0.01776564340161607,5.2112398733580975e-05,20,1.63710573489124e-09,1.1955864602352561e-09,7343306.16485662,1.0,0,1.0,1.0,0.01
