,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,delta,lambda,precision_mean,recall_mean,thresh
0,2.5e-05,0.007271684773850117,1.8201491655064182e-05,30,6.267623714206415e-10,2.553792554345248e-10,11373205.551164415,0.9984126984126984,1.0000000002302585,1e-08,1.0,0.9910714285714286,0.01
1,2.5e-05,0.007200974342925046,1.8175044647939972e-05,30,6.231303170066601e-10,2.506846493523899e-10,11373205.551164415,0.9984126984126984,1.0000000002302585,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
2,2.5e-05,0.0044747788113098826,4.441431957972744e-06,30,5.618063785883853e-10,1.7917050480096697e-10,11373205.551164415,0.9984126984126984,1.0000000002302585,4.641588833612773e-06,1.0,0.9910714285714286,0.01
3,2.5e-05,0.00439048336802661,1.043460057686712e-05,30,7.959815643946774e-10,3.5684929368454923e-10,11373205.551164415,0.9976190476190476,1.0000000002302585,0.0001,1.0,0.9844047619047619,0.01
4,2.5e-05,0.00727162405343863,1.8201522401534016e-05,30,6.267643278507069e-10,2.553766166526726e-10,11373205.551164415,0.9984126984126984,1.025914365679988,1e-08,1.0,0.9910714285714286,0.01
5,2.5e-05,0.007203178061187227,1.8177112795959895e-05,30,6.23150994181042e-10,2.5071369519601764e-10,11373205.551164415,0.9984126984126984,1.025914365679988,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
6,2.5e-05,0.004510205229973433,4.488674049855773e-06,30,5.619520495048688e-10,1.807403226892868e-10,11373205.551164415,0.9984126984126984,1.025914365679988,4.641588833612773e-06,1.0,0.9910714285714286,0.01
7,2.5e-05,0.004035337267718927,8.675502576689532e-06,30,7.625717504366615e-10,3.30649802594997e-10,11373205.551164415,0.9984126984126984,1.025914365679988,0.0001,1.0,0.9891666666666666,0.01
8,2.5e-05,0.007271593129784937,1.8201554476296787e-05,30,6.267656733771699e-10,2.553746864610934e-10,11373205.551164415,0.9984126984126984,1.052500285466225,1e-08,1.0,0.9910714285714286,0.01
9,2.5e-05,0.007205197746282975,1.8179228361264018e-05,30,6.231647451573674e-10,2.5074902513422017e-10,11373205.551164415,0.9984126984126984,1.052500285466225,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
10,2.5e-05,0.005526336646615569,8.799637092874846e-06,30,5.835482642709256e-10,2.0622194509466606e-10,11373205.551164415,0.9984126984126984,1.052500285466225,4.641588833612773e-06,1.0,0.9910714285714286,0.01
11,2.5e-05,0.003937279333762943,8.408755663224363e-06,30,7.527185451398247e-10,3.1332677507113567e-10,11373205.551164415,0.9976190476190476,1.052500285466225,0.0001,1.0,0.9844047619047619,0.01
12,2.5e-05,0.007271587401450524,1.820158487177421e-05,30,6.267664662188753e-10,2.5537335817336326e-10,11373205.551164415,0.9984126984126984,1.0797751624934613,1e-08,1.0,0.9910714285714286,0.01
13,2.5e-05,0.007207128872531267,1.815883130502269e-05,30,6.235340801262755e-10,2.51167356648239e-10,11373205.551164415,0.9984126984126984,1.0797751624934613,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
14,2.5e-05,0.004550540860018724,4.44136562812346e-06,30,5.611766168276123e-10,1.8157296407908028e-10,11373205.551164415,0.9984126984126984,1.0797751624934613,4.641588833612773e-06,1.0,0.9910714285714286,0.01
15,2.5e-05,0.003918549731054743,8.057904971174227e-06,30,7.392652891344274e-10,3.0759243397922894e-10,11373205.551164415,0.9976190476190476,1.0797751624934613,0.0001,1.0,0.9844047619047619,0.01
16,2.5e-05,0.0072715822258311545,1.820161419886245e-05,30,6.267672440000013e-10,2.5537209152473093e-10,11373205.551164415,0.9984126984126984,1.1077568506514148,1e-08,1.0,0.9910714285714286,0.01
17,2.5e-05,0.0072092616489685245,1.816229868796883e-05,30,6.23543614813944e-10,2.5120091096749174e-10,11373205.551164415,0.9984126984126984,1.1077568506514148,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
18,2.5e-05,0.004622055556495674,4.500274982998564e-06,30,5.614313984424926e-10,1.8208000369748644e-10,11373205.551164415,0.9984126984126984,1.1077568506514148,4.641588833612773e-06,1.0,0.9910714285714286,0.01
19,2.5e-05,0.0038861953755244152,7.738749254190766e-06,30,7.283007602837263e-10,2.989622014524982e-10,11373205.551164415,0.9976190476190476,1.1077568506514148,0.0001,1.0,0.9844047619047619,0.01
20,2.5e-05,0.007271577691270125,1.8201642424236947e-05,30,6.267680048965223e-10,2.553708899233494e-10,11373205.551164415,0.9984126984126984,1.1364636665020271,1e-08,1.0,0.9910714285714286,0.01
21,2.5e-05,0.0072113456554184765,1.8165523806762406e-05,30,6.235554726529486e-10,2.5123633184750344e-10,11373205.551164415,0.9984126984126984,1.1364636665020271,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
22,2.5e-05,0.0056518200182996995,9.308048489380118e-06,30,5.859818240616019e-10,2.0945631620319556e-10,11373205.551164415,0.9984126984126984,1.1364636665020271,4.641588833612773e-06,1.0,0.9910714285714286,0.01
23,2.5e-05,0.0038237161443871724,7.360516526837132e-06,30,7.178463532196517e-10,2.8864650373266074e-10,11373205.551164415,0.9976190476190476,1.1364636665020271,0.0001,1.0,0.9844047619047619,0.01
24,2.5e-05,0.007271573748124248,1.8201669761800552e-05,30,6.267687489179542e-10,2.5536974959736347e-10,11373205.551164415,0.9984126984126984,1.165914401269319,1e-08,1.0,0.9910714285714286,0.01
25,2.5e-05,0.007213629638555793,1.816888806976393e-05,30,6.235731894220101e-10,2.5127785249198853e-10,11373205.551164415,0.9984126984126984,1.165914401269319,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
26,2.5e-05,0.004663445167439541,4.551925971163925e-06,30,5.611074851909417e-10,1.8317266421784071e-10,11373205.551164415,0.9984126984126984,1.165914401269319,4.641588833612773e-06,1.0,0.9910714285714286,0.01
27,2.5e-05,0.003747379203889615,7.0379737886275375e-06,30,7.043115571629984e-10,2.7684236386023894e-10,11373205.551164415,0.9976190476190476,1.165914401269319,0.0001,1.0,0.9844047619047619,0.01
28,2.5e-05,0.007271570288948898,1.82016960979526e-05,30,6.26769474970032e-10,2.5536866495322347e-10,11373205.551164415,0.9984126984126984,1.1961283331399577,1e-08,1.0,0.9910714285714286,0.01
