,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,delta,lambda,precision_mean,recall_mean,thresh
0,2.5e-05,0.5824366720402144,0.05112852681588371,50,3.343987486848544e-06,3.3413118511514148e-06,11044377.939022338,0.8109523809523811,1e-10,1e-10,0.526098338435867,0.8828809523809525,0.01
1,2.5e-05,0.6793226517678019,0.06164336192363429,50,5.16400324718551e-06,5.163615410932258e-06,11044377.939022338,0.7728571428571428,1e-10,3.593813663804626e-10,0.46802470266655216,0.8780476190476191,0.01
2,2.5e-05,0.7242897359169902,0.10627867457398328,50,0.0010050792913647614,0.0010051151387310841,11044377.939022338,0.7761904761904763,1e-10,1.2915496650148826e-09,0.43530257496201763,0.8135238095238095,0.01
3,2.5e-05,0.8636013843203567,0.11298522933765344,50,0.0007608287471496514,0.0007608085202074458,11044377.939022338,0.7247619047619048,1e-10,4.641588833612773e-09,0.418266496383009,0.8372142857142856,0.01
4,2.5e-05,28497.523645160534,2494582056.069417,50,3620103.4403288355,3620103.437215788,11044377.939022338,0.6966666666666669,1e-10,1.6681005372000592e-08,0.3735927406254315,0.8604285714285713,0.01
5,2.5e-05,1.0559088052043843,0.12555674175913173,50,9.2094150271743e-05,9.210057976051012e-05,11044377.939022338,0.6366666666666669,1e-10,5.99484250318941e-08,0.30592881274735084,0.8326904761904761,0.01
6,2.5e-05,1.1418811139638054,0.1168984190325023,50,5.9703477222999806e-05,5.969242236153063e-05,11044377.939022338,0.5942857142857144,1e-10,2.1544346900318867e-07,0.2888325130255271,0.8553095238095239,0.01
7,2.5e-05,1.7995181523099848,5.4444742195222435,50,0.001225685844133935,0.0012256239657610643,11044377.939022338,0.5947619047619048,1e-10,7.742636826811278e-07,0.2791891117002594,0.8195952380952383,0.01
8,2.5e-05,1.2662793451591292,0.18154334521167007,50,0.0011905494406955406,0.0011905630552005032,11044377.939022338,0.6080952380952384,1e-10,2.782559402207126e-06,0.29520130616129686,0.7635238095238098,0.01
9,2.5e-05,1.2367640863287825,0.17171511629542302,50,0.0013630392453229162,0.0013629949069333968,11044377.939022338,0.614761904761905,1e-10,1e-05,0.3028635437256246,0.7776904761904764,0.01
10,2.5e-05,0.31092862580508895,0.023958159575491945,50,1.4485283634728433e-06,1.4465261343542798e-06,11044377.939022338,0.8890476190476188,1e-09,1e-10,0.6753370518370518,0.9007857142857144,0.01
11,2.5e-05,0.39843365209495063,0.036039596497746906,50,2.934177843478213e-06,2.932909444808145e-06,11044377.939022338,0.8738095238095237,1e-09,3.593813663804626e-10,0.6318119672724937,0.8712619047619048,0.01
12,2.5e-05,75.6728927251332,24008.07825708433,50,48.65649900962228,48.656495205277,11044377.939022338,0.8204761904761902,1e-09,1.2915496650148826e-09,0.5259731572775054,0.855547619047619,0.01
13,2.5e-05,0.6154357999185799,0.06461915932855035,50,1.1678829050341489e-05,1.1677079037636121e-05,11044377.939022338,0.8114285714285714,1e-09,4.641588833612773e-09,0.5053124369610439,0.8409047619047619,0.01
