,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,delta,lambda,precision_mean,recall_mean,thresh
0,2.5e-05,1.2022738358129454,0.11936978195156642,50,3.906597664821205e-09,4.386421666969488e-09,6407779.129659012,0.5771428571428573,1e-05,1e-10,0.28612199779414776,0.8576825396825399,0.01
1,2.5e-05,1.2117349847972265,0.1200546834964975,50,6.820110715012877e-09,7.362395881253545e-09,6407779.129659012,0.5738095238095239,1e-05,1e-09,0.2806107311231722,0.8549920634920636,0.01
2,2.5e-05,1.2055688345306887,0.11894413867104367,50,1.1370044572334529e-08,1.1715049744817961e-08,6407779.129659012,0.5700000000000002,1e-05,1e-08,0.28564229850511913,0.8682380952380951,0.01
3,2.5e-05,1.2418906209416745,0.12778974873093513,50,1.9970573215520715e-07,1.9860931677943655e-07,6407779.129659012,0.5623809523809523,1e-05,1e-07,0.26989802166755683,0.8402301587301589,0.01
4,2.5e-05,1.2344551314472358,0.12681403888300843,50,2.0689912079984023e-07,2.0633713770148063e-07,6407779.129659012,0.5676190476190477,1e-05,1e-06,0.27347899108185175,0.8517380952380954,0.01
5,2.5e-05,1.2759122372803007,0.13179315140680042,50,3.313143928684916e-07,3.3128462256117486e-07,6407779.129659012,0.541904761904762,1e-05,1e-05,0.25849815860544256,0.8537619047619049,0.01
6,2.5e-05,1.3481175794025497,0.15160178222868673,50,9.232161921654852e-06,9.2382777725774e-06,6407779.129659012,0.49238095238095236,1e-05,0.0001,0.2384636228777959,0.8699523809523809,0.01
7,2.5e-05,1.3971974352218723,0.1592368314161255,50,1.1636593927323015e-05,1.163504656219429e-05,6407779.129659012,0.4614285714285714,1e-05,0.001,0.22424539190193254,0.877047619047619,0.01
8,2.5e-05,1.4727460746020182,0.18514711552937155,50,0.000986301828779073,0.0009862082226922415,6407779.129659012,0.3847619047619048,1e-05,0.01,0.22112646609657638,0.887357142857143,0.01
9,2.5e-05,1.4735210111497172,0.19107714982195018,50,0.0004469280556265548,0.0004469320441605685,6407779.129659012,0.362857142857143,1e-05,0.1,0.21741061433877334,0.9029523809523811,0.01
10,2.5e-05,1.2023191205453767,0.11933358759769692,50,3.2128337704004956e-09,3.6742414962230656e-09,6407779.129659012,0.5785714285714285,3.5938136638046256e-05,1e-10,0.28414298695162693,0.8597063492063494,0.01
11,2.5e-05,1.203093645938758,0.11945473013904259,50,4.8167080994008415e-09,5.22287720126213e-09,6407779.129659012,0.5709523809523811,3.5938136638046256e-05,1e-09,0.283456943991702,0.8593492063492066,0.01
12,2.5e-05,1.2095460758543466,0.11954513171188653,50,9.273809500353072e-09,9.816479703568875e-09,6407779.129659012,0.5666666666666667,3.5938136638046256e-05,1e-08,0.27850723981978065,0.857968253968254,0.01
13,2.5e-05,1.2228737849451694,0.12457097389130738,50,1.6015499408720495e-07,1.5982967241777986e-07,6407779.129659012,0.5676190476190476,3.5938136638046256e-05,1e-07,0.2740903651786633,0.8587619047619048,0.01
14,2.5e-05,1.231081377689094,0.12665864413680175,50,2.0629960577440184e-07,2.058470326001567e-07,6407779.129659012,0.5719047619047619,3.5938136638046256e-05,1e-06,0.27692539100810615,0.8523730158730161,0.01
15,2.5e-05,1.2406714447182459,0.12816610928136749,50,2.2937877633883927e-07,2.291946405320818e-07,6407779.129659012,0.5733333333333333,3.5938136638046256e-05,1e-05,0.2780271794144784,0.8488809523809525,0.01
16,2.5e-05,1.3149895573070276,0.15341177837787687,50,7.214035637607067e-05,7.217934351941357e-05,6407779.129659012,0.5571428571428575,3.5938136638046256e-05,0.0001,0.2544718745735144,0.8271349206349207,0.01
17,2.5e-05,1.3941946273478671,0.17960846028893152,50,5.062816701097749e-05,5.062444509067594e-05,6407779.129659012,0.5219047619047618,3.5938136638046256e-05,0.001,0.235139285304333,0.808404761904762,0.01
18,2.5e-05,1.4321782684490834,0.1766522226705842,50,0.0001372515085714583,0.00013723028751948558,6407779.129659012,0.46190476190476193,3.5938136638046256e-05,0.01,0.22056180001640863,0.8455000000000001,0.01
19,2.5e-05,1.4662223912040302,0.19104334574759724,50,0.00019660226237164767,0.00019658341173139644,6407779.129659012,0.3957142857142858,3.5938136638046256e-05,0.1,0.20611687715711305,0.8834285714285715,0.01
