sample_name,category,amphiboles,biotite-chlorite,calcite-dolomite,epidote,feldspar,garnet,obsidian,glaucophane,kyanite,muscovite,olivine,pyroxene,quartz,serpentine,talc,vesuvianite,zoisite
Moinian granulite (schist),valid_mixture,0,0.1,0,0,0.2,0,0,0,0,0.1,0,0,0.6,0,0,0,0
Graphite schist,invalid,0,0.03,0,0,0.32,0,0,0,0,0.1,0,0,0.5,0,0,0,0
Hornblende schist,valid_mixture,0.12,0.1,0,0,0.38,0,0,0,0,0,0,0,0.1,0,0,0,0
Red slate,valid_mixture,0,0,0.05,0,0.3,0,0,0,0,0.4,0,0,0.05,0,0,0,0
Retrograde sericite-mica phyllite,valid_mixture,0,0.25,0,0,0,0.01,0,0,0,0.27,0,0,0.45,0,0,0,0
Sillimanite schist,invalid,0,0.25,0,0,0,0.04,0,0,0,0.2,0,0,0.45,0,0,0,0
Quartzitic schist,valid_mixture,0,0.25,0,0,0.02,0,0,0,0,0.03,0,0,0.7,0,0,0,0
Phyllite,valid_mixture,0,0.45,0,0,0,0,0,0,0,0.1,0,0,0.4,0,0,0,0
Mica schist,valid_mixture,0,0.15,0,0,0.3,0,0,0,0,0.25,0,0,0.3,0,0,0,0
Staurolite-garnet schist,valid_mixture,0,0.22,0,0,0,0.07,0,0,0,0.25,0,0,0.4,0,0,0,0
Mica schist,valid_mixture,0,0,0,0,0,0,0,0,0,0.1,0,0,0.9,0,0,0,0
Chlorotoid(?),valid_mixture,0,0.18,0,0,0,0,0,0,0,0.4,0,0,0.32,0,0,0,0
Microcline-phlogopite dolomite schist,valid_mixture,0,0.03,0.6,0,0.17,0,0,0,0,0,0,0,0.2,0,0,0,0
Vesuvianite-wollastonite granofel,valid_mixture,0,0,0,0,0,0.02,0,0,0,0,0,0.48,0.1,0,0,0.4,0
Precambrian Marble,valid_mixture,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talc schist,valid_mixture,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0
Wollastonite marble,valid_mixture,0.15,0,0.75,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
Tremolite marble,valid_mixture,0.13,0,0.85,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Calc schist,valid_mixture,0.1,0.2,0.4,0.01,0,0,0,0,0,0,0,0,0.25,0,0,0,0
Graphite marble,valid_mixture,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spurrite hornfels,invalid,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hornblende-biotite schsit,valid_mixture,0.4,0.3,0,0.03,0.01,0,0,0,0,0,0,0,0.2,0,0,0,0
Serpentinite,valid_mixture,0,0.05,0,0,0,0,0,0,0,0,0.45,0.2,0,0.25,0,0,0
Antigorite serpentinite,valid_mixture,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Serpentinite,valid_mixture,0.8,0.03,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0
Serpentinite,valid_mixture,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0
Amphibolite,valid_mixture,0.63,0.05,0,0.1,0.15,0,0,0,0,0,0,0,0.05,0,0,0,0
Garnet-hornblende-zoisite granofel,valid_mixture,0.1,0.05,0,0,0.25,0.25,0,0,0,0,0,0,0.15,0,0,0,0.15
Garnet-hornblende-diopside granofel,valid_mixture,0.35,0,0,0,0,0.4,0,0,0,0,0,0.2,0.01,0,0,0,0
Anthophyllite-chlorite-talc-enstatite-serpentine schist,valid_mixture,0.4,0.3,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0.15,0,0
Garnet-hornblende-sausserite-mica schist,valid_mixture,0.05,0.05,0,0,0.15,0.15,0,0,0,0.15,0,0,0.25,0,0,0,0
Precambrian Amphibole gneiss,valid_mixture,0.6,0.05,0,0,0.25,0,0,0,0,0,0,0,0.1,0,0,0,0
Greenstone,valid_mixture,0.23,0.2,0.05,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0
Hornblende-pyroxene granofel,valid_mixture,0.3,0,0,0,0.3,0,0,0,0,0,0,0.35,0,0,0,0,0
Precambrian Old granitic gneiss,valid_mixture,0,0.15,0,0,0.6,0,0,0,0,0,0,0,0.25,0,0,0,0
Precambrian Migmititic gneiss,valid_mixture,0,0,0,0,0.66,0,0,0,0,0,0,0,0.33,0,0,0,0
Inchbae augen gneiss,valid_mixture,0,0.11,0,0,0.55,0,0,0,0,0,0,0,0.25,0,0,0,0
Gneiss,valid_mixture,0,0.06,0,0,0.65,0,0,0,0,0,0,0,0.18,0,0,0,0
Kyanite quartzite,valid_mixture,0,0,0,0,0,0,0,0,0.4,0.01,0.01,0,0.52,0,0,0,0
Glaucophane schist,valid_mixture,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0
Potosi gneiss,valid_mixture,0,0.08,0,0,0.3,0.02,0,0,0,0,0,0,0.6,0,0,0,0
Coarse banded gneiss,valid_mixture,0,0.15,0,0,0.05,0.15,0,0,0,0.05,0.05,0,0.5,0,0,0,0
Purnamooto gneiss,valid_mixture,0,0.15,0,0,0.38,0.02,0,0,0,0.05,0.05,0,0.4,0,0,0,0
Augen granite gneiss,valid_mixture,0.1,0.1,0,0,0.35,0.05,0,0,0,0.05,0.05,0,0.45,0,0,0,0
